function,dimension,experiment,method,optimizer_type,start_distance,final_value,iterations,runtime,success,distance_to_minimum,f_error,initial_gradient_norm,final_gradient_norm
ackley,32,0,gradient_descent,first_order,39.797615680615245,15.158960713252036,575,0.04557943344116211,True,40.09846812797825,15.158960713252036,0.8172593915006726,9.398307002309431e-07
ackley,32,0,sgd,first_order,39.797615680615245,15.158966520611301,1000,0.07887744903564453,False,40.09822459245924,15.158966520611301,0.8172593915006726,0.006234877917630258
ackley,32,0,momentum,first_order,39.797615680615245,15.158960713252052,296,0.03214526176452637,True,40.09846832833629,15.158960713252052,0.8172593915006726,9.906971101710282e-07
ackley,32,0,rmsprop,first_order,39.797615680615245,15.097748419207548,1000,0.08189058303833008,False,39.733842228772836,15.097748419207548,0.8172593915006726,0.0945978485180304
ackley,32,0,adam,first_order,39.797615680615245,15.09640993442896,1000,0.08722066879272461,False,39.735032162934395,15.09640993442896,0.8172593915006726,0.0004328234481623061
ackley,128,0,gradient_descent,first_order,28.894561608744237,7.9911661543013395,1000,0.09764909744262695,False,28.7200027848586,7.9911661543013395,0.48998402888576775,0.009899500083578592
ackley,128,0,sgd,first_order,28.894561608744237,7.991206629669264,1000,0.08449077606201172,False,28.720147870099748,7.991206629669264,0.48998402888576775,0.012842784054746544
ackley,128,0,momentum,first_order,28.894561608744237,7.991106708131442,315,0.032937049865722656,True,28.723850110660052,7.991106708131442,0.48998402888576775,9.702640550629786e-07
ackley,128,0,rmsprop,first_order,28.894561608744237,7.99243271492335,1000,0.11406636238098145,False,28.721225083827637,7.99243271492335,0.48998402888576775,0.046846421347397776
ackley,128,0,adam,first_order,28.894561608744237,7.9911067088649865,1000,0.09262204170227051,False,28.72386043721014,7.9911067088649865,0.48998402888576775,3.459336556274949e-05
