,final_value,final_value,final_value,final_value,runtime,runtime,iterations,iterations,success,distance_to_minimum,distance_to_minimum
,mean,std,min,max,mean,std,mean,std,mean,mean,std
method,,,,,,,,,,,
adam,2156.0177,5315.0379,-0.0014,14188.9984,0.0337,0.0089,979.4286,54.4269,0.1429,3.2992,0.468
gradient_descent,147.5194,335.8415,-0.0001,832.0703,0.0194,0.0123,796.5714,356.5267,0.4286,2.1493,1.8793
momentum,151.9357,333.4728,0.0,830.0752,0.0168,0.0131,588.7143,387.0683,0.5714,3.6586,4.0504
rmsprop,121.4253,312.5333,-0.0,830.094,0.0268,0.0189,891.7143,286.4971,0.1429,1.7414,1.804
sgd,147.8205,335.7309,-0.0001,832.0653,0.0291,0.0152,1000.0,0.0,0.0,2.1482,1.8775
sgd_momentum,181.7655,333.0963,0.0,830.0752,0.0261,0.0106,1000.0,0.0,0.0,6.2159,8.3295
trust-exact,121.9847,314.018,-0.567,834.0205,0.0462,0.0714,123.5714,189.0933,0.5714,2.2225,1.567
trust-krylov,121.3377,312.5646,-0.567,830.0752,0.0221,0.0397,71.5714,145.3488,0.7143,1.7396,1.7999
