iteration,timestamp,function_value,gradient_norm,gradient_cosine_similarity,gradient_angle,x1,x2
0,0.000156402587890625,-4.3303262589899784e-05,0.004404556829066075,0.0,0.0,-3.260651225393155,-3.316997515928673
1,0.0004801750183105469,-4.310966091976701e-05,0.004386426085771948,1.0,0.0,-3.2606512253930693,-3.316953470360382
2,0.0006859302520751953,-4.291764835944e-05,0.004368437291479292,1.0,0.0,-3.2606512253929836,-3.3169096060995242
3,0.0008580684661865234,-4.272720600687004e-05,0.004350588813862557,1.0,0.0,-3.260651225392898,-3.3168659217266097
4,0.0010333061218261719,-4.25383152538216e-05,0.00433287904530314,1.0,0.0,-3.260651225392812,-3.316822415838471
5,0.001209259033203125,-4.2350957780253e-05,0.004315306402427306,1.0,0.0,-3.2606512253927264,-3.316779087048018
6,0.001377105712890625,-4.2165115548802304e-05,0.004297869325652269,1.0,0.0,-3.2606512253926407,-3.3167359339839937
7,0.001558065414428711,-4.198077079942447e-05,0.004280566278744845,1.0,0.0,-3.260651225392555,-3.3166929552907374
8,0.0017457008361816406,-4.179790604412246e-05,0.004263395748387347,1.0,0.0,-3.2606512253924693,-3.31665014962795
9,0.0019199848175048828,-4.1616504061814494e-05,0.004246356243754704,1.0,0.0,-3.2606512253923836,-3.316607515670466
10,0.002089262008666992,-4.143654789331691e-05,0.004229446296100929,1.0,0.0,-3.260651225392298,-3.3165650521080288
11,0.0022661685943603516,-4.125802083642721e-05,0.004212664458353558,1.0,0.0,-3.260651225392212,-3.3165227576450675
12,0.0024445056915283203,-4.108090644112461e-05,0.004196009304717676,1.0,0.0,-3.2606512253921265,-3.316480631000484
13,0.002643585205078125,-4.090518850487605e-05,0.004179479430288484,1.0,0.0,-3.2606512253920408,-3.316438670907437
14,0.0028145313262939453,-4.073085106805168e-05,0.004163073450672816,1.0,0.0,-3.260651225391955,-3.316396876113134
15,0.0029802322387695312,-4.055787840942115e-05,0.004146790001616909,1.0,0.0,-3.2606512253918694,-3.3163552453786274
16,0.003148794174194336,-4.0386255041780544e-05,0.004130627738645218,1.0,0.0,-3.2606512253917836,-3.3163137774786113
17,0.003315448760986328,-4.02159657076402e-05,0.004114585336703685,1.0,0.0,-3.260651225391698,-3.316272471201225
18,0.0034906864166259766,-4.004699537503931e-05,0.004098661489813745,1.0,0.0,-3.2606512253916122,-3.3162313253478577
19,0.0036695003509521484,-3.987932923342376e-05,0.00408285491073108,1.0,0.0,-3.2606512253915265,-3.3161903387329597
20,0.0038366317749023438,-3.9712952689629925e-05,0.004067164330613221,1.0,0.0,-3.260651225391441,-3.3161495101838523
21,0.004004001617431641,-3.954785136395012e-05,0.004051588498693706,1.0,0.0,-3.260651225391355,-3.316108838540546
22,0.004183530807495117,-3.9384011086281965e-05,0.004036126181963042,1.0,0.0,-3.2606512253912694,-3.316068322655559
23,0.004352569580078125,-3.9221417892363294e-05,0.00402077616485668,1.0,0.0,-3.2606512253911837,-3.3160279613937393
24,0.004537820816040039,-3.906005802008165e-05,0.004005537248948972,1.0,0.0,-3.260651225391098,-3.3159877536320908
