iteration,timestamp,function_value,gradient_norm,gradient_cosine_similarity,gradient_angle,x1,x2
0,0.00023365020751953125,0.13300891789633681,1.87851905698881,0.0,0.0,-2.4795801261157746,-0.22707489376943804
1,0.0012054443359375,0.20131132605373733,2.438201695073901,1.0,0.0,-2.447957350046425,-0.22707489376943804
2,0.0013935565948486328,0.26891682286282925,2.8464702642385458,1.0,0.0,-2.4224271814682083,-0.22707489376943804
3,0.0016274452209472656,0.33564995133257175,3.1268657141171077,1.0,0.0,-2.4001394886146388,-0.22707489376943804
4,0.0018088817596435547,0.39995082540000554,3.2889621294420843,1.0,0.0,-2.3801452342932934,-0.22707489376943804
5,0.001986265182495117,0.46030145286572116,3.3447608600022902,1.0,0.0,-2.361992951451243,-0.22707489376943804
6,0.0021653175354003906,0.5155607355367736,3.3097740019076625,1.0,0.0,-2.3454203782116276,-0.22707489376943804
7,0.0023453235626220703,0.5650355411928956,3.201492357818359,1.0,0.0,-2.3302523846241683,-0.22707489376943804
8,0.0025551319122314453,0.6084463728168138,3.0376047126571355,1.0,0.0,-2.3163594469651088,-0.22707489376943804
9,0.002734661102294922,0.645848910312406,2.834620208674023,1.0,0.0,-2.303638495586782,-0.22707489376943804
10,0.0029075145721435547,0.6775437286614355,2.60702337816987,1.0,0.0,-2.292003266001626,-0.22707489376943804
11,0.0030765533447265625,0.7039916927429046,2.366895964030913,1.0,0.0,-2.2813790604292374,-0.22707489376943804
12,0.0032532215118408203,0.7257432171657038,2.123878497494996,1.0,0.0,-2.2716996762934563,-0.22707489376943804
13,0.003424406051635742,0.7433837828755531,1.8853448157041868,1.0,0.0,-2.2629054396817487,-0.22707489376943804
14,0.0036280155181884766,0.7574948488206638,1.656687471332841,1.0,0.0,-2.254941817948664,-0.22707489376943804
15,0.0038003921508789062,0.7686277862785518,1.4416421484315332,1.0,0.0,-2.2477583457176156,-0.22707489376943804
16,0.003968715667724609,0.7772880322604621,1.2426059366037248,1.0,0.0,-2.241307731260605,-0.22707489376943804
