iteration,timestamp,function_value,gradient_norm,gradient_cosine_similarity,gradient_angle,step_size,improvement,best_so_far,relative_improvement,distance_to_minimum,x1,x2
0,0.0028836727142333984,842.127039674179,1.3566301910293193,0.0,0.0,0.0,0.0,842.127039674179,0.0,598.5148245349819,-3.5206564657147514,-0.9658700881400087
1,0.003298521041870117,842.1126062772547,1.353609881489348,0.9999998307155495,0.03333850880286855,0.013447782668025017,0.0017139215634041187,842.1126062772547,0.0017139215634041187,598.5021984189069,-3.50843853875042,-0.9602518037594614
2,0.0034682750701904297,842.0851331296928,1.347855523146965,0.9999994118193013,0.06214311742964624,0.02555796831489467,0.0032624078249243686,842.0851331296928,0.00497627347321729,598.478243718746,-3.485168081159109,-0.9496831923144253
3,0.003629922866821289,842.0460280729754,1.3396546121773898,0.9999988818026999,0.08568343925649444,0.0362777981585108,0.004643836493356149,842.0460280729754,0.00961987887656988,598.4443298919903,-3.4520345995090564,-0.9349098706508563
4,0.0038738250732421875,841.9958645453661,1.329148629072796,0.9999981771137453,0.10940004013188098,0.04614012714329422,0.005957337952671777,841.9958645453661,0.01557664374054634,598.4012266162474,-3.409859544106755,-0.9161968795854981
5,0.004025697708129883,841.9354630102349,1.3165163937800237,0.9999973829817113,0.13108140984584507,0.054989410463671604,0.007173614227166185,841.9354630102349,0.02274914055938104,598.3499005499846,-3.359546543777342,-0.8940059521376729
6,0.004168033599853516,841.8656449938605,1.3019468879952274,0.99999644737999,0.15272570466880878,0.06273906563931003,0.008292561537287482,841.8656449938605,0.031039815610188433,598.2913480942515,-3.3021359734357016,-0.8687034469189955
7,0.004324674606323242,841.7872372078743,1.2856137018693434,0.9999954471020891,0.172894728169283,0.0694957792227186,0.009313574731603724,841.7872372078743,0.040350499425368745,598.2265120520143,-3.2385187290148902,-0.8407300749006709
8,0.00448918342590332,841.7009573269012,1.26768308998262,0.9999941730894464,0.19559467039360715,0.07525036536699156,0.010249606689137703,841.7009573269012,0.050595970347018245,598.1562522053191,-3.1696968669822496,-0.8102970534564254
9,0.0047070980072021484,841.6073375162039,1.2482373879772868,0.9999929467079343,0.21519581409171737,0.0804818508342073,0.011122692671590365,841.6073375162039,0.06171303538432271,598.0811477048874,-3.096047058121268,-0.7778465685842323
10,0.004879951477050781,841.5070408907707,1.2273928764527047,0.9999917068666583,0.23334433108829064,0.08502966387309963,0.011917270793907642,841.5070408907707,0.07362295166868846,598.0018786247101,-3.0181487076443854,-0.7437600502616888
11,0.005021572113037109,841.4007984835446,1.2053008136222283,0.9999900419675221,0.2556964861218021,0.08869999094130691,0.012625254699429364,841.4007984835446,0.08623891128295241,597.9191732580354,-2.936905937513421,-0.708160883214759
12,0.0051631927490234375,841.2893015547618,1.182059792750861,0.9999884742817057,0.27508825452137003,0.09184434449263565,0.013251345730090782,841.2893015547618,0.09947882919675523,597.8336147590628,-2.8526982550714335,-0.6714941430674358
13,0.005332231521606445,841.1732125427149,1.157772626177244,0.9999867705821947,0.2947192309191515,0.09442633861212373,0.01379894072495477,841.1732125427149,0.11326404289703526,597.745748832057,-2.7660186882338538,-0.6340376867943045
14,0.005480051040649414,841.0529715870584,1.1324956986058177,0.9999846943134227,0.31700389039113486,0.09663070060745992,0.01429443470898779,841.0529715870584,0.12754228715136237,597.6559174759443,-2.6772254756508023,-0.5959160695795328
15,0.00562286376953125,840.9289481064116,1.1062669392887066,0.9999819730771602,0.344032192019251,0.09852961039150138,0.01474621514181828,840.9289481064116,0.14226969463312053,597.5643723298142,-2.58663475107511,-0.5571681051845848
16,0.00578761100769043,840.8019535972059,1.07919584424479,0.9999791542564966,0.3699534481509785,0.09992553798154089,0.01510169313253698,840.8019535972059,0.1573499026329534,597.4716549718179,-2.4946313757889644,-0.5181746175634834
17,0.005930185317993164,840.6728867232652,1.0514159322552992,0.9999760381095768,0.3966423078566266,0.10073651620479927,0.015350448864743214,840.6728867232652,0.17267619758135422,597.378342404698,-2.401720852259035,-0.4792454470807437
18,0.006073713302612305,840.5424590074125,1.0230261172047024,0.9999720708298038,0.4282207002465699,0.10108991919123547,0.015514680907697928,840.5424590074125,0.18816408832799386,597.2848370433275,-2.3083500118380953,-0.44050195832227057
19,0.006212472915649414,840.4111036861657,0.9940525635698364,0.9999676000838129,0.4612227768890154,0.10130450433573958,0.015627446280575896,840.4111036861657,0.20376212936674695,597.1913367875654,-2.2145807348423405,-0.40216235359813063
20,0.006377220153808594,840.2797283859102,0.9646360500763211,0.9999617091311798,0.5014026516125429,0.1009403611522696,0.01563226612300598,840.2797283859102,0.21936254285143242,597.0983350242259,-2.120992904401384,-0.36434338345211226
21,0.006516695022583008,840.1484381927351,0.9347296336600369,0.9999540858266386,0.5490509872511349,0.10068894005759221,0.015624581760089972,840.1484381927351,0.2349528501316636,597.0057573798786,-2.027457316108854,-0.32706931240142545
22,0.0066585540771484375,840.0181535425746,0.9044716537156422,0.9999440216736266,0.6062470120219005,0.09990296811055935,0.015507337065422894,840.0181535425746,0.2504237522666717,596.914074959279,-1.9344935431285837,-0.29048598354014993
23,0.006818294525146484,839.8896285708795,0.8739636035323441,0.9999321331610085,0.6675270932220796,0.0987800485311979,0.01530026120901141,839.8896285708795,0.2656856979874569,596.8236838466763,-1.8423404761019826,-0.254914784158957
24,0.006968021392822266,839.7630762565066,0.8431839563107149,0.9999145450084238,0.7490476414179432,0.09766182836171534,0.015067731528994557,839.7630762565066,0.2807133967087678,596.7345304095754,-1.7510439646740148,-0.22023366941280026
25,0.007110118865966797,839.6390511431182,0.8121868180129916,0.9998895087954777,0.8517369401492557,0.09632256962561359,0.01476906009505075,839.6390511431182,0.2954409980735638,596.646811509625,-1.660819686864946,-0.18650508934910404
26,0.007254600524902344,839.5179393312642,0.7809876749378817,0.9998548883219902,0.9760994413526678,0.0949239764764128,0.01442427096371002,839.5179393312642,0.3098226538271737,596.5606623569591,-1.5716612171570152,-0.15392705089626668
27,0.007405757904052734,839.4002010922115,0.7496172132973667,0.9998014910076645,1.1416550634883353,0.09337725930520276,0.014024505437778816,839.4002010922115,0.32380370817001913,596.4762164070899,-1.4837173692851608,-0.12253927976094697
28,0.007549285888671875,839.2863458321198,0.7181073265473106,0.9997103199213063,1.3791370619990277,0.09165314326348763,0.013563882870606373,839.2863458321198,0.33732367068491864,596.3935850754004,-1.3972013568797534,-0.0922857135654589
29,0.007742166519165039,839.1771583511241,0.6866032733269182,0.9995639111649616,1.6921579473453863,0.08956339517943142,0.013009562414286642,839.1771583511241,0.35028934876572937,596.3133135278861,-1.3123076358179175,-0.0637435013116374
30,0.007909059524536133,839.0729900998311,0.6550779481319216,0.9992309983622282,2.247134656104483,0.08745910792551122,0.01241314188027723,839.0729900998311,0.3626590087321528,596.2353241272077,-1.229132753965418,-0.0367058500092598
