function,dimension,experiment,method,optimizer_type,start_distance,final_value,iterations,runtime,success,distance_to_minimum,f_error,initial_gradient_norm,final_gradient_norm,computation_error,mean_best_so_far,std_best_so_far,mean_distance_to_minimum,std_distance_to_minimum,mean_improvement,std_improvement,mean_relative_improvement,std_relative_improvement,mean_step_size,std_step_size,mean_gradient_norm,std_gradient_norm,mean_cosine_similarity,std_cosine_similarity,mean_gradient_angle,std_gradient_angle
sphere,2,0,gradient_descent,function,3.958024540990302,2.329443904596382e-13,788,0.08932018280029297,True,4.826431295063033e-07,2.329443904596382e-13,7.916049081980604,9.652862590126065e-07,False,0.5014005155189813,1.9378833364884471,0.2508253528517132,0.662183628524441,3.9549809885931557,0.14089036409776445,96.79942645722117,12.37002744071185,0.005016507044799965,0.01324367257512299,0.5016507057034264,1.324367257048882,1.0,7.617879099795406e-17,2.0971579686684565e-07,4.141895571274279e-07
sphere,2,1,sgd,function,3.958024540990302,2.0911501392438647e-06,1000,0.13274574279785156,False,0.0014460809587446563,2.0911501392438647e-06,7.916049081980604,0.0028921619174893127,False,0.39523624726320034,1.7325422678304945,0.19804369483146203,0.5966700468242342,-30.19301899539589,363.5355845482026,97.47710136510639,11.059280500389466,0.004041099164696979,0.011906463541874555,0.39608738966292406,1.1933400936484684,0.9547844977806055,0.16331078120279854,9.037535537566766,16.247178527329215
sphere,2,2,sgd_momentum,function,3.958024540990302,1.254575700836359e-06,1000,0.12582683563232422,False,0.0011200784351269152,1.254575700836359e-06,7.916049081980604,0.0022401568702538305,False,0.09741301837394187,1.0479308834369023,0.057890916868014335,0.3324001573327811,-136.12044259465205,3951.493076200505,99.37818665980596,6.689222999137531,0.007525582922533779,0.03895021511125907,0.11578183373602867,0.6648003146655622,0.9691335726248115,0.14692112806411162,7.9874633429810125,14.54461922384741
sphere,2,3,momentum,function,3.958024540990302,2.046339175355923e-12,247,0.03157544136047363,True,1.4305031196596262e-06,2.046339175355923e-12,7.916049081980604,2.8610062393192523e-06,False,0.39324151251412054,2.077686467682891,0.2264188559662142,0.6389825424874844,-446.40184539287776,4215.095777351729,97.48983429031321,13.262428204271965,0.029313228020069363,0.07410179599125917,0.4528377119324284,1.2779650849749689,0.9109311740890689,0.41255835474840474,8.016194504363323,37.13025184274543
sphere,2,4,rmsprop,function,3.958024540990302,4.9999900000219025e-05,1000,0.125990629196167,False,0.007071060740809616,4.9999900000219025e-05,7.916049081980604,0.014142121481619231,False,1.761359590437303,3.4677390616302914,0.71547067143217,1.1177988749568346,0.13738119009930147,36.46664647643517,88.75677082493952,22.135505549743293,0.0130641462670005,0.0025984478371932304,1.43094134286434,2.235597749913669,-0.17565206226086838,0.9784954022610367,105.89866198291728,87.23758380488847
sphere,2,5,adam,function,3.958024540990302,8.12088409630177,1000,0.13332009315490723,False,2.849716494022128,8.12088409630177,7.916049081980604,5.699432988044256,False,11.514468405039965,2.173806882964445,3.378176575026863,0.3199866137508561,0.06561790333499924,0.002280206512087305,26.500069713353906,13.875990513342643,0.0012353120330094902,0.00011197793648925665,6.756353150053726,0.6399732275017121,0.9999999868536392,4.5854624542321456e-10,0.00928908355188968,0.00016382729952236642
sphere,2,6,trust-exact,function,3.958024540990302,1.5407439555097887e-32,3,0.003209829330444336,True,1.2412670766236366e-16,1.5407439555097887e-32,7.916049081980604,2.482534153247273e-16,False,6.333419618330513,6.371356213487084,1.3053496939935345,1.2323293303622915,58.41440316346941,39.72448324338604,59.57208930117744,40.670070128267,0.9895061352475754,0.7073403449488277,3.9370368114854526,3.135828378328526,0.9967624064966079,0.0045786486419481945,2.6640373397465322,3.767517736537886
sphere,2,7,trust-krylov,function,3.958024540990302,0.0,3,0.002705812454223633,True,0.0,0.0,7.916049081980604,0.0,False,6.333419618330514,6.371356213487084,1.305349693993535,1.2323293303622915,58.4144031634694,39.72448324338604,59.57208930117744,40.670070128267,0.9895061352475755,0.7073403449488276,3.9370368114854535,3.135828378328526,0.6666666666666666,0.4714045207910317,0.0,0.0
sphere,2,8,gradient_descent,function,4.014690273143195,2.39662112428074e-13,788,0.09136629104614258,True,4.895529720347677e-07,2.39662112428074e-13,8.02938054628639,9.791059440695353e-07,False,0.5158600577790056,1.9937686120948102,0.25441633671617775,0.6716638931719688,3.9549809885931553,0.14089036409776445,96.79942645722117,12.370027440711855,0.005088326721914099,0.013433277868139887,0.5088326734323555,1.3433277863439377,1.0,8.610657042981192e-17,2.3373274767537624e-07,4.417341843718746e-07
sphere,2,9,sgd,function,4.014690273143195,4.3484040369487564e-08,1000,0.1277623176574707,False,0.00020852827235050782,4.3484040369487564e-08,8.02938054628639,0.00041705654470101564,False,0.40662351784719397,1.7827505255255753,0.2008528220541964,0.6052124083874494,-8.173603826531668,79.46352914923935,97.47716758941064,11.060798523417706,0.0040940979694867145,0.012078711298004825,0.4017056441083928,1.2104248167748988,0.9709216305302061,0.1307401753947427,6.695425064537673,13.330817663051226
