,,,final_value,final_value,final_value,final_value,runtime,runtime,iterations,iterations,success,mean_distance_to_minimum,mean_distance_to_minimum,mean_step_size,mean_step_size,mean_improvement,mean_improvement,mean_relative_improvement,mean_relative_improvement,mean_gradient_norm,mean_gradient_norm,mean_cosine_similarity,mean_cosine_similarity,mean_gradient_angle,mean_gradient_angle
,,,mean,std,min,max,mean,std,mean,std,mean,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,function,dimension,,,,,,,,,,,,,,,,,,,,,,,
adam,ackley,2,7.3675,2.808,5.3819,9.353,0.2396,0.0188,1000.0,0.0,0.0,3.3883,1.6262,0.0005,0.0003,0.0259,0.0008,18.939,1.1947,1.834,0.0543,1.0,0.0,0.0206,0.0263
adam,michalewicz,2,0.4005,0.5664,-0.0,0.801,0.1701,0.0553,811.5,266.5793,0.5,,,0.0003,0.0004,-1.366,0.2712,0.0,0.0,0.4362,0.6168,1.0,0.0,0.0831,0.1175
adam,rastrigin,2,16.9142,0.0,16.9142,16.9142,0.1522,0.0019,1000.0,0.0,0.0,4.1096,0.0405,0.0004,0.0001,0.089,0.0197,51.6045,5.5884,21.7063,6.0614,1.0,0.0,0.0339,0.0081
adam,rosenbrock,2,370.0149,511.3558,8.4317,731.598,0.1606,0.0071,1000.0,0.0,0.0,3.3605,0.7981,0.0007,0.0005,0.2211,0.0963,67.7089,25.3132,1392.2084,1726.1363,1.0,0.0,0.0325,0.0339
adam,schwefel,2,837.2541,3.9252,834.4785,840.0296,0.1583,0.0054,1000.0,0.0,0.0,595.3519,2.9691,0.0012,0.0,0.0002,0.0,0.0997,0.0067,0.9184,0.2202,1.0,0.0,0.0087,0.0086
adam,sphere,2,8.2704,0.2114,8.1209,8.4199,0.1331,0.0003,1000.0,0.0,0.0,3.4055,0.0387,0.0012,0.0,0.0652,0.0005,26.3722,0.1808,6.811,0.0773,1.0,0.0,0.0092,0.0001
adam,sum_squares,2,14.8729,6.3371,10.3919,19.3539,0.1602,0.0198,1000.0,0.0,0.0,3.7001,0.0176,0.0011,0.0002,0.0549,0.0048,22.6675,1.6994,10.8372,4.8954,1.0,0.0,0.0037,0.0008
gradient_descent,ackley,2,7.3675,2.808,5.3819,9.353,0.0088,0.0009,34.0,11.3137,1.0,3.4008,1.6668,0.0133,0.0039,0.7558,0.2104,17.4407,4.5008,1.3254,0.3858,0.9999,0.0,0.7923,0.0002
gradient_descent,michalewicz,2,0.4006,0.5666,-0.0,0.8013,0.1913,0.0047,1000.0,0.0,0.0,,,0.0004,0.0005,-0.8748,1.1019,0.0,0.0,0.0383,0.0532,0.9999,0.0001,0.09,0.1272
gradient_descent,rastrigin,2,26.6388,1.6334,25.4838,27.7937,0.1356,0.0021,1000.0,0.0,0.0,3.162,0.0785,0.6722,0.007,-11.6245,0.1289,71.6307,4.4823,67.293,0.7078,-0.754,0.0164,147.9727,1.476
gradient_descent,rosenbrock,2,,,,,0.1399,0.0016,1000.0,0.0,0.0,,,,,,,,,,,,,,
gradient_descent,schwefel,2,830.5579,0.4637,830.23,830.8857,0.1341,0.0024,1000.0,0.0,0.0,592.711,2.2094,0.0079,0.0021,0.001,0.0004,0.4794,0.1857,0.7879,0.2054,1.0,0.0,0.1567,0.0396
gradient_descent,sphere,2,0.0,0.0,0.0,0.0,0.0903,0.0014,788.0,0.0,1.0,0.2526,0.0025,0.0051,0.0001,3.955,0.0,96.7994,0.0,0.5052,0.0051,1.0,0.0,0.0,0.0
gradient_descent,sum_squares,2,0.0,0.0,0.0,0.0,0.1066,0.0102,766.5,33.234,1.0,0.2221,0.0587,0.0056,0.0005,4.1211,0.2347,97.4859,0.9561,0.5634,0.051,1.0,0.0,0.055,0.0721
momentum,ackley,2,5.3819,0.0,5.3819,5.3819,0.0764,0.0254,327.5,33.234,1.0,2.274,0.1291,0.0138,0.008,0.1441,0.0988,37.1082,21.2356,0.6788,0.2941,0.6449,0.0616,40.757,0.4144
momentum,michalewicz,2,0.5833,0.8249,-0.0,1.1666,0.1271,0.0913,653.5,490.025,0.5,,,0.0052,0.0073,-2.2871,2.8001,0.0,0.0,0.3042,0.4299,0.7002,0.4239,29.7186,42.0284
momentum,rastrigin,2,26.7657,10.8156,19.1179,34.4136,0.1436,0.0008,1000.0,0.0,0.0,5.8878,1.0331,0.6622,0.3033,-11.4755,9.5712,92.7098,2.0303,48.8425,6.1338,-0.6108,0.2806,141.877,27.0144
momentum,rosenbrock,2,,,,,0.1426,0.0003,1000.0,0.0,0.0,,,,,,,,,,,,,,
momentum,schwefel,2,830.0752,0.0,830.0752,830.0752,0.0488,0.0109,318.0,43.8406,1.0,589.4009,0.4904,0.0282,0.0037,0.0032,0.0011,0.8662,0.4139,0.2877,0.0395,0.9936,0.0068,1.9954,0.0424
momentum,sphere,2,0.0,0.0,0.0,0.0,0.0319,0.0004,247.0,0.0,1.0,0.228,0.0023,0.0295,0.0003,-446.4018,0.0,97.4898,0.0,0.4561,0.0046,0.9109,0.0,8.0162,0.0
momentum,sum_squares,2,0.0,0.0,0.0,0.0,0.0383,0.0043,270.0,32.5269,1.0,0.2207,0.0256,0.0339,0.0042,-44.6258,48.2058,97.9534,0.6578,0.6122,0.1889,0.9308,0.0045,9.4569,1.8537
rmsprop,ackley,2,7.3681,2.8071,5.3832,9.353,0.1126,0.1323,537.5,654.0738,0.5,3.3733,1.6605,0.0116,0.0031,0.1861,0.2278,20.0603,3.0296,1.5192,1.4729,0.0322,1.3655,87.5126,122.3576
rmsprop,michalewicz,2,0.4004,0.5663,-0.0,0.8009,0.1069,0.1308,522.0,675.9941,0.5,,,0.0052,0.0059,-4.3537,4.7632,0.0,0.0,0.1089,0.154,0.1166,1.2493,79.5547,112.5073
rmsprop,rastrigin,2,16.9142,0.0,16.9142,16.9142,0.0101,0.0016,61.5,7.7782,1.0,4.1071,0.0384,0.0066,0.0007,1.3839,0.1407,52.0164,6.1194,22.8021,5.3874,0.9998,0.0001,0.8055,0.1224
rmsprop,rosenbrock,2,1.6107,2.2284,0.035,3.1865,0.1462,0.0029,1000.0,0.0,0.0,1.914,1.4034,0.0128,0.0,0.732,0.5146,95.375,0.0058,143.7032,173.5617,-0.5227,0.2848,129.7381,20.0749
