iteration,timestamp,function_value,gradient_norm,gradient_cosine_similarity,gradient_angle,step_size,improvement,best_so_far,relative_improvement,distance_to_minimum,x1,x2
0,0.0001552104949951172,836.4418330515635,1.0456640497206438,0.0,0.0,0.0,0.0,836.4418330515635,0.0,594.0731806378018,-2.0708633371002363,3.8830111965242033
1,0.003727436065673828,836.4292018470272,1.0425338578593093,0.9999998866413069,0.02728129925664511,0.010456640497206533,0.001510111526851456,836.4292018470272,0.001510111526851456,594.0630192420925,-2.0618952092211136,3.88838837169631
2,0.004479408264160156,836.4052308388781,1.0365846637580929,0.9999995891159942,0.051939440039183764,0.019836314465394172,0.002865874134500945,836.4052308388781,0.0043759423834567514,594.0437442089685,-2.0448800606559576,3.8985846499818257
3,0.004675388336181641,836.3711105432221,1.0280962199235124,0.9999991591588147,0.074300998236033,0.02821852545154734,0.004079397688813063,836.3711105432221,0.00845516156017736,594.016326983785,-2.0206688065727647,3.9130794888694678
4,0.004830837249755859,836.327941689689,1.0173213559114898,0.9999986362788028,0.09462381965768471,0.035677620274626634,0.005161447231843871,836.327941689689,0.013616172383318937,593.9816674851718,-1.990047086152809,3.931388034059693
5,0.0050201416015625,836.2767454318787,1.0044897203791001,0.9999980513340864,0.11311140449092212,0.042283035053153555,0.006121552952893052,836.2767454318787,0.019736891815009386,593.9405986797567,-1.9537399155564046,3.9530593149768376
6,0.005155324935913086,836.218472393573,0.9898108710776784,0.9999974289983716,0.12992385530066647,0.04809955471140294,0.006968152423697339,836.218472393573,0.026703668942001355,593.8938909297474,-1.9124160680960578,3.9776744890470983
7,0.005284547805786133,836.1540104679289,0.9734768157198157,0.999996789479074,0.14518625363498808,0.05318757787089908,0.0077087421256889065,836.1540104679289,0.034410352550713424,593.8422561056128,-1.8666921794346127,4.004845143169676
8,0.00542140007019043,836.0841914000164,0.9556640926664839,0.9999961497254309,0.15899505599652364,0.057603380928810725,0.008350024880393053,836.0841914000164,0.04275750415810706,593.7863514622509,-1.817136581262578,4.0342116578461145
9,0.005558013916015625,836.0097962453573,0.9365354683169519,0.99999552428727,0.17142292221900174,0.06139937667687075,0.008898045845661371,836.0097962453573,0.05165174542144599,593.7267832817322,-1.764272871044641,4.0654416370056055
10,0.0056874752044677734,835.9315598275123,0.9162413173684606,0.9999949259341346,0.1825222711331964,0.06462436408047625,0.009358313526513262,835.9315598275123,0.061005225215680796,593.6641102891892,-1.708583228375743,4.0982284046446456
11,0.005828857421875,835.8501743285635,0.8949207424823573,0.9999943661101625,0.19232777594727088,0.06732376686247127,0.009735904571606481,835.8501743285635,0.07073519037677657,593.598846850918,-1.6505114905033242,4.132289567939951
12,0.006001710891723633,835.7662921453976,0.8727024812288373,0.9999938552764455,0.2008579506139886,0.06953985935657575,0.010035552511939801,835.7662921453976,0.0807636442215417,593.5314659654413,-1.5904660008564242,4.167365645434397
13,0.006136417388916016,835.6805281371279,0.8497056404195361,0.9999934031758452,0.20811592940309218,0.07131197874310602,0.010261721377824376,835.6805281371279,0.09101707785922149,593.4624020593144,-1.5288222451372382,4.203218758173607
14,0.006266117095947266,835.59346137799,0.8260402910250011,0.9999930190429426,0.21408949914105704,0.07267672328164089,0.010418665531428586,835.59346137799,0.10142626062573144,593.3920535999907,-1.465925289808561,4.2396313812230195
15,0.006396293640136719,835.5056365176272,0.8018079507554752,0.999992711772316,0.2187504019852676,0.0736681365354683,0.010510477214363335,835.5056365176272,0.11192607745608232,593.3207855381941,-1.402092037758456,4.276405152763564
16,0.006736040115356445,835.4175648380572,0.7771019759880882,0.9999924900502936,0.2220528830826435,0.07431787786146778,0.010541123329472935,835.4175648380572,0.12245540251969278,593.2489315920992,-1.3376133156286918,4.313359737896463
17,0.0069675445556640625,835.3297250844811,0.7520078799662068,0.999992362447571,0.22393140703465558,0.07465537963423016,0.010514472914285002,835.3297250844811,0.13295699989384777,593.1767963852584,-1.2727558068272016,4.350331744339117
18,0.0071163177490234375,835.2425641358395,0.7266035899770015,0.9999923374612573,0.22429740509713522,0.07470799179963364,0.010434316656544053,835.2425641358395,0.14337744339600586,593.1046574497102,-1.2077638436655254,4.387173687327041
19,0.007257223129272461,835.1564975708061,0.7009596524153573,0.9999924234832546,0.22303483445609765,0.07450111442310796,0.01030437967711576,835.1564975708061,0.15366704891698274,593.0327671051285,-1.142861071418536,4.423753001220832
20,0.00739741325378418,835.071910175796,0.6751393911318807,0.9999926286547723,0.2199942210651769,0.07405831892137137,0.010128328673263782,835.071910175796,0.1637798136864697,592.9613542242455,-1.0782519964369373,4.459951095528153
21,0.007545948028564453,834.9891564335429,0.6491990210809303,0.9999929605399387,0.21498470318916252,0.07340145865095178,0.009909774385258453,834.9891564335429,0.17367335786170324,592.8906258941664,-1.0141234297892225,4.495662453270431
22,0.0076847076416015625,834.9085610238251,0.6231877158354607,0.9999934255076617,0.20776336946480872,0.07255076947737035,0.009652270223732504,834.9085610238251,0.1833088646636283,592.8207689826139,-0.950645837302457,4.530793769839024
23,0.007832765579223633,834.830419361968,0.5971476237653741,0.9999940276374238,0.19802085397962307,0.07152496086779045,0.009359307773929156,834.830419361968,0.19265101599673667,592.7519516176212,-0.8879746063436693,4.565263130686728
24,0.008003711700439453,834.7549981957975,0.5711138232387593,0.999994766838625,0.18536164854886275,0.07034129793655364,0.009034309773729564,834.7549981957975,0.20166792108089887,592.6843245887749,-0.8262512392721156,4.5989992263818325
25,0.008139848709106445,834.6825362777843,0.5451142016035391,0.9999956356520321,0.16927681261349595,0.06901567472267324,0.00868062104088603,834.6825362777843,0.21033103609379486,592.6180226778182,-0.7656044832406256,4.631940603710092
26,0.008276224136352539,834.6132451262924,0.5191692351938944,0.9999966138050776,0.1491055228158241,0.06756267878101566,0.008301497692862333,834.6132451262924,0.21861507316054846,592.5531659263044,-0.7061514059882701,4.664034951643835
27,0.00841069221496582,834.5473098883078,0.4932916370145076,0.9999976588618392,0.12397988723386484,0.06599564690661701,0.00790009484867771,834.5473098883078,0.22649789721109298,592.4898608481001,-0.6479984275256601,4.695238421107183
28,0.008549690246582031,834.4848903161051,0.4674858231971559,0.9999986899225418,0.09274407299422964,0.06432671145365286,0.007479452807909079,834.4848903161051,0.23396040921566927,592.4282015949494,-0.5912423182843802,4.725514977553275
29,0.00867915153503418,834.4261218726199,0.44174712563367147,0.9999995586111067,0.053832970722859017,0.06256683620572007,0.007042481435813226,834.4261218726199,0.24098641403309634,592.3682710841608,-0.5359711755612642,4.7548357854356365
30,0.008810997009277344,834.3711169858983,0.41606064087796985,0.9999999960613783,0.005085220186940205,0.06072584001478933,0.0065919420880705916,834.3711169858983,0.24756247043631374,592.3101420989623,-0.48226539221893544,4.783178623703683
31,0.008960485458374023,834.3199664838089,0.39039954459897575,0.999999512864876,0.0565538753450306,0.05881240530048793,0.006130425783933709,834.3199664838089,0.25367771958672847,592.2538783745097,-0.4301986350706174,4.810527331484617
32,0.009094476699829102,834.2727412598119,0.3647225980326671,0.9999972026899819,0.1355214475391702,0.056834066715601254,0.005660325282157956,834.2727412598119,0.2593236858847895,592.1995356864994,-0.37983885597091915,4.836871283133203
33,0.009224414825439453,834.2294942559323,0.3389703916369279,0.9999913380547322,0.23847653964231955,0.054797172325090876,0.005183796825762534,834.2294942559323,0.26449403989755466,592.1471629658234,-0.331249367758668,4.862204891839765
34,0.009354114532470703,834.1902629143816,0.31305953604890696,0.9999784885441773,0.3758143077553368,0.05270680450507505,0.004702703730907355,834.1902629143816,0.2691843052573797,592.0968034735548,-0.28449003246052845,4.886527140987662
35,0.009500980377197266,834.1550723755066,0.2868733547402474,0.9999514541425067,0.5645669821980136,0.05056663833789204,0.004218526688628756,834.1550723755066,0.2733914763342496,592.0484960894239,-0.23961863568296246,4.909841142446558
