iteration,timestamp,function_value,gradient_norm,gradient_cosine_similarity,gradient_angle,step_size,improvement,best_so_far,relative_improvement,distance_to_minimum,x1,x2
0,0.0001468658447265625,18.128002430943212,6.816714758143712,0.0,0.0,0.0,0.0,18.128002430943212,0.0,13.814451700966579,11.141069740968936,8.167964301171056
1,0.0018339157104492188,18.128002430943212,6.816714758143712,1.0,0.0,0.0,0.0,18.128002430943212,0.0,13.814451700966579,11.141069740968936,8.167964301171056
2,0.002337217330932617,17.12450196672566,2.2124345065832953,-0.4401172136200016,116.11136006515284,0.2500000000009758,5.535637299477896,17.12450196672566,5.535637299477896,13.582770305371572,11.00903795507899,7.955672974180999
3,0.003069162368774414,17.079671220012795,0.5688826073163513,0.21437883945112965,77.62091225784812,0.04157213475700739,0.26179299579032966,17.079671220012795,5.782938384545836,13.583070646143971,10.984880671766224,7.989505917464159
4,0.0037779808044433594,17.07794057286064,0.37445844416187596,0.9999999296578787,0.02149044277571215,0.0036685579305452344,0.010132789617908243,17.07794057286064,5.792485201183505,13.586736621427727,10.987926378647,7.99155090814535
5,0.004671812057495117,17.07719380337108,0.24652253595898935,0.9999999750092651,0.012809351556414696,0.0024049081603729457,0.004372713948579178,17.07719380337108,5.796604626323722,13.589139803301391,10.98992348203179,7.992890744452624
6,0.005419254302978516,17.076870851234936,0.1623073159599833,0.9999999897473388,0.008204572046469447,0.0015798043466572675,0.0018911311768388906,17.076870851234936,5.798386136103275,13.590718460551605,10.991235592738265,7.993770600842991
7,0.0061419010162353516,17.076731031902384,0.10686363810943265,0.9999999951498088,0.005643091110843555,0.0010388576977095338,0.0008187643612863236,17.076731031902384,5.799157425345349,13.591756558401883,10.992098501607314,7.994349058792895
8,0.0068492889404296875,17.0766698890052,0.06992724951938815,0.9809583883498617,11.19904628054293,0.0007600506037011927,0.0003580480190861501,17.0766698890052,5.79949470959615,13.5924628648365,10.992834834173077,7.994537450068656
9,0.007530689239501953,17.076644489084895,0.04663895357653371,0.99999994350081,0.019260109108032393,0.00043579813248638763,0.00014874047732385694,17.076644489084895,5.799634823877361,13.59289329401587,10.993142830495701,7.994845765292946
10,0.00824594497680664,17.07663319301516,0.031106576151672734,0.9999999465562263,0.018732088050426792,0.00029058899770139664,6.614923525349838e-05,17.07663319301516,5.799697136698531,13.593180318469615,10.993348270693478,7.995051279990043
11,0.008933067321777344,17.076628168847584,0.02074703733010243,0.999999948589544,0.018372292882008968,0.00019378193896648155,2.9421300543446445e-05,17.076628168847584,5.799724851652749,13.593371733326231,10.993485315173194,7.995188284553649
12,0.009600162506103516,17.076625934109888,0.013837580148995445,0.9999999499667607,0.01812453790593564,0.0001292326969346174,1.3086527821130722e-05,17.076625934109888,5.7997371791979635,13.593499393909653,10.993576739091647,7.995279623248032
13,0.010298967361450195,17.076624940066942,0.009229204262680295,0.9999999509178784,0.017951440150772765,8.618810316769801e-05,5.821073492913503e-06,17.076624940066942,5.799742662664493,13.593584537787978,10.993637730962732,7.995340519724032
14,0.011012554168701172,17.07662449789208,0.0061555709279173644,0.9999999515899858,0.017828107211154093,5.748206858039128e-05,2.589357461503928e-06,17.07662449789208,5.799745101845885,13.593641326223448,10.993678421444937,7.9953811211139865
15,0.011646270751953125,17.07662430119878,0.004105559552158392,0.9999999520783275,0.017737957723784278,3.833752031836404e-05,1.1518277508186751e-06,17.07662430119878,5.799746186870562,13.59367920297591,10.993705568283737,7.995408191662694
16,0.012359380722045898,17.076624213702544,0.002738269915809134,0.9999999524451249,0.017669943256840306,2.556936697726647e-05,5.123743105835629e-07,17.076624213702544,5.799746669528464,13.59370446625568,10.993723679568259,7.995426240870449
17,0.01300668716430664,17.076624174780836,0.0018263332031432393,0.9999999527313186,0.01761669257967003,1.7053703033793312e-05,2.2792390366937797e-07,17.076624174780836,5.799746884233358,13.59372131662247,10.99373576275281,7.995438275214564
18,0.013658523559570312,17.076624157466828,0.0012181012104840665,0.9999965081539278,0.1514137452824034,1.1374485990862186e-05,1.013901098242639e-07,17.076624157466828,5.799746979743098,13.59373256612574,10.993743871594694,7.995446251781172
19,0.014312028884887695,17.076624149764925,0.0008124329059519524,0.9999999519340972,0.0177646307160712,7.58608293280496e-06,4.510202393784115e-08,17.076624149764925,5.799747022229319,13.593740059010038,10.993749234101687,7.995451617615032
20,0.014955282211303711,17.07662414633879,0.0005418657197510687,0.9999999521107947,0.017731947913614363,5.0596461145086806e-06,2.0063298302350242e-08,17.07662414633879,5.799747041128996,13.59374505674096,10.993752811811587,7.995455195325287
21,0.015594482421875,17.076624144814694,0.00036140647107537867,0.9999998085214553,0.035456649656963365,3.3746177850391608e-06,8.925045088398138e-09,17.076624144814694,5.799747049536411,13.593748391193765,10.99375520318135,7.995457576374606
22,0.016262531280517578,17.076624144136712,0.00024104607143713574,0.9999999520338586,0.017746185776468554,2.2507467320439725e-06,3.970235036763765e-09,17.076624144136712,5.799747053276382,13.593750614289302,10.993756794207128,7.995459168385229
23,0.016925811767578125,17.07662414383511,0.00016076973044616317,0.9999999520828556,0.01773711966735814,1.5011735898325209e-06,1.7661601016027866e-09,17.07662414383511,5.79974705494011,13.593752097381302,10.993757857008692,7.995460228562092
24,0.01757216453552246,17.07662414370095,0.00010722805968887278,0.999999999999999,2.561320938754782e-06,1.0012310643077886e-06,7.856419718705191e-10,17.07662414370095,5.799747055680187,13.593753086408492,10.993758565204798,7.995460936320469
