iteration,timestamp,function_value,gradient_norm,gradient_cosine_similarity,gradient_angle,step_size,improvement,best_so_far,relative_improvement,distance_to_minimum,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
0,0.0001404285430908203,161.5092325327593,341.09509845513963,0.0,0.0,0.0,0.0,161.5092325327593,0.0,5.707162198562643,-0.17253951722865798,-0.026561332248999696,0.05250595779549541,-0.22883681182345722,0.06792140246654729,0.06158588634705207,0.10544905209461465,0.021601262934177225,-0.03149870796726384,-0.054816384899206254,-0.1145290786083086,0.1795702326779154,0.11788543489552944,-0.06262216500395747,0.16315252478095055,-0.0047981517011632824,0.07741012864169053,-0.7217465359364451,0.13319983770002938,0.17051128809014063,0.3689527757585598,-0.28190785241891403,-0.09969503434762204,0.05932424595874803,0.049761234344777805,0.08146609841306567,0.14722309537044093,-0.03494117167905477,0.0349320226536001,0.14980720467889314,-0.1224743745282272,0.18181857945140315
1,0.0004515647888183594,1224.7844619684352,2320.5438303968276,-0.7904597360402654,142.22849531501356,3.410950984551397,-658.3371196566172,161.5092325327593,0.0,5.742799581064347,-0.11021128276410984,0.10112877268873216,-0.08078526172080341,0.24468896663679157,0.07093136964749858,-0.008548613967133155,-0.07555122357090725,0.017443751635665555,0.06009350056275417,0.10366818702363498,0.0665743495067859,-0.07541426284318353,-0.0718341754128437,0.07178300269954259,-0.15907548912337516,0.07664634711544542,-0.2842497229995957,1.8875032643129295,1.0073675624997436,0.11337548329884628,-0.9151228558491089,0.7818327284664093,0.26093919420456774,-0.009659475283294493,-0.007995183438695139,-0.012330967219884206,-0.15023472695413453,0.09427764820739118,0.0075728798474629724,-0.2172010432713068,0.10808424094091425,-0.1518186346192422
2,0.0006604194641113281,19424524.922928963,3708510.105819068,-0.986469538360432,170.56406717618438,23.205438303968275,-1585854.5516858106,161.5092325327593,0.0,22.8292454821542,-0.12723444693795644,-0.09567413935092695,0.04589487745406498,-0.2057064817510904,0.06354242773355709,0.04136803651665249,0.09366180024854763,0.0177951410417175,-0.016635710132854045,-0.05536905127040673,-0.04767454088280597,0.12917173914600133,0.08550228989508055,-0.09005356397468937,0.15989400539233078,-0.09651714901671606,-1.7325379491656516,-21.036213512463267,2.4856016474690046,1.5130965208036726,1.182719277904604,-0.19814633962145844,0.895216079966257,0.1663437131677094,0.02873809571567184,0.04012309028418833,0.13045189555659598,-0.03151830423306706,0.023471125671394203,0.18874268198212552,-0.06658079513299157,0.17518304089878942
3,0.0008630752563476562,1.8851857352141645e+20,2.0350526416573452e+16,-0.9997367077666853,178.68518035686603,37085.10105819068,-970518322941670.8,161.5092325327593,0.0,37063.091888364615,-0.047758580618164334,0.13590404811502382,-0.04665586903163839,0.21656694191923231,0.04930529304121441,0.0010951272153032626,-0.06873211244927128,0.018187342017578337,0.04130458789557806,0.08826768904620402,0.05056011252280264,-0.07165262889633023,-0.06714110941901938,0.07180102775129944,-0.20495411093510102,0.842054616776549,168.39212441773793,37054.302300799056,836.1467340260164,4.134643960191881,-4.162526140603501,2.3413423534834137,-3.0886892173952374,1.4538636026167058,0.05054491236607556,0.0014043663199964085,-0.13516766220252402,0.0833502256831069,0.015714551267229086,-0.2485772257277591,0.11368531767849506,-0.1663170363377067
4,0.0010554790496826172,1.715151908456439e+59,3.371218756042319e+45,-0.9999999999979925,179.99988519363205,203505264165734.5,-9.098052655599958e+40,161.5092325327593,0.0,203505264128681.2,-0.052330020006906806,-0.1494637932200284,0.06451856789091587,-0.19446218715384828,0.06324761701474942,0.023443907202956676,0.0864077259505998,0.013877936380332903,-0.007167552656730407,-0.05152044725812027,-0.030996997146550798,0.1189131662451825,0.08067959672288275,-0.10456550289483373,-0.4165288897103821,564.0383244070542,5858794.351867172,-203505264128271.7,407716551.9279806,1397926.950457638,287.9628421858336,-47.98150588007227,114.03649360168072,5.618764260271949,4.195650347528276,0.022917811957376206,0.1226881526192819,-0.02555361360364862,0.002225037067211914,0.22244332162267472,-0.05388620618073943,0.19216573924902738
5,0.0012402534484863281,1.2916585944524329e+176,1.532571675614181e+133,-1.0,180.0,3.3712187560423187e+43,-7.530869936849317e+118,161.5092325327593,0.0,3.3712187560423187e+43,0.0005755621460785468,0.15271291259648617,-0.0523900473093947,0.20689441455837204,0.036037572249247106,0.012139134944677162,-0.06482058553051846,0.020368520338664833,0.029174672918686237,0.07958853498535085,0.04230097513612663,-0.06772022764609145,-0.06985835452460057,0.31846667247605664,-938.9972358097742,12500566746.110765,-5.573605476713618e+21,3.3712187560423187e+43,8.255768162136855e+28,-1.059484846266478e+19,3908303947561.759,585864.4588999564,-5924817.942954784,25387.681033469526,-236.1661380038806,35.214786337143835,-0.12401896219458527,0.07600876523924645,0.021016171008945164,-0.29885569311465204,0.1331315449009784,-0.18635829281592106
6,0.0015959739685058594,inf,inf,,,1.5325716756141811e+131,-inf,161.5092325327593,0.0,1.5325716756141811e+131,0.020915633227318736,-0.18201486924620652,0.07729866636182153,-0.1911436880054992,0.07041492473344405,0.0070608770202899756,0.08221994554771551,0.009970703854918899,0.0002601353315017166,-0.04802785378663402,-0.022239620306199442,0.1128189396539464,0.01280103732752974,-1196.5815730976644,-46948678766827.22,-2.8650647180972702e+32,-5.90157771496382e+64,-1.5325716756141811e+131,2.224623912761242e+85,1.8388663043700285e+58,-1.4293238025235732e+37,3.0549678688677946e+25,8.319266202250843e+20,4753981510905.517,1341723812.117391,-63181.25353052495,2480.27877676538,-0.022134393348934148,-0.015042168699606402,0.27333654190539397,-0.04584389329511693,0.22180630931136355
7,0.001985788345336914,,,,,inf,,,,inf,0.025232896252173682,0.1743722502845374,-0.053533887144002756,0.20101368971011974,0.021840817719724195,0.025035200278351485,-0.06270873618892488,0.02335653094161473,0.019883516795514995,0.07370416968095306,0.03730555959411248,-0.09405320810834283,-61.23755075306227,2.2471170242776704e+17,5.380481517150937e+46,1.6170624166145477e+98,3.700053860890231e+196,inf,4.69754747796733e+262,-2.4870995703431435e+175,6.762975373122677e+116,-1.1363737366343409e+77,-2.303111982860578e+63,1.3837740364803447e+42,-9.616406446707266e+27,3.6014544209826043e+18,-53048806530.42805,12303565.664897796,0.019890191486882064,-0.390161008881916,0.17589803591279046,-0.21760298420645544
8,0.0022020339965820312,,,,,,,,,,0.06226364288526102,-0.21513322319123512,0.09298543766722903,-0.19423003732209815,0.08068085566838132,-0.010924329099334221,0.08034417899356551,0.005847783006179261,0.006640416196133385,-0.04499077742513627,-0.021429565071618195,23.16039808287189,-5.504317712890873e+19,4.836228646395949e+64,3.4801674727946336e+145,7.019105223559144e+294,,,,inf,,9.206265213451701e+233,4.886581608301087e+190,9.878225395796463e+123,7.386780411837362e+84,-1.8997370496799138e+54,2.5941545047516283e+37,-1.8215915214658292e+21,302755456140903.75,0.38181124263763083,-0.02983774572899972,0.27948322228241007
9,0.002410411834716797,,,,,,,,,,0.02647293219547412,0.2069998271495081,-0.05773871593459881,0.20203419032999448,0.00752986913751208,0.04065600649388146,-0.061907586173242615,0.027100162485548026,0.012098967423767782,0.07019959033533119,-1.9393231706502378,-5.099287576206222e+21,-1.0648055600778987e+85,6.73235425047392e+210,inf,,,,,,,,,,-1.6122244582939972e+255,1.0912907713001884e+170,-6.982366072299687e+112,1.3459275189288107e+75,-1.043669181124115e+44,1.833217324461734e+29,0.3087438104789354,-0.27770264014203316
