,,,final_value,final_value,final_value,final_value,runtime,runtime,iterations,iterations,success,distance_to_minimum,distance_to_minimum,initial_distance_to_minimum,initial_distance_to_minimum,mean_step_size,mean_step_size,mean_improvement,mean_improvement,mean_relative_improvement,mean_relative_improvement,mean_gradient_norm,mean_gradient_norm,mean_cosine_similarity,mean_cosine_similarity,mean_gradient_angle,mean_gradient_angle
,,,mean,std,min,max,mean,std,mean,std,mean,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,function,dimension,,,,,,,,,,,,,,,,,,,,,,,,,
BFGS,rosenbrock,2,0.0,0.0,0.0,0.0,0.0076,0.0012,25.0,7.0711,1.0,0.0,0.0,1.7497,1.1613,0.1047,0.0042,46.7244,8.9741,95.7598,0.8821,17.214,5.967,0.4405,0.0435,53.9277,2.1201
BFGS,rosenbrock,8,0.0,0.0,0.0,0.0,0.0129,0.0002,51.5,0.7071,1.0,0.0,0.0,2.936,0.0343,0.1103,0.0024,30.2464,1.4344,92.5093,0.1166,18.436,0.6217,0.3208,0.0368,66.1196,2.4297
BFGS,rosenbrock,32,0.0,0.0,0.0,0.0,0.042,0.0006,169.0,1.4142,1.0,0.0,0.0,5.7352,0.0396,0.1012,0.0021,10.9133,0.1308,86.7844,2.9452,14.598,0.6861,0.5525,0.0062,50.6106,0.4387
BFGS,rosenbrock,128,0.0,0.0,0.0,0.0,0.4771,0.0001,611.5,0.7071,1.0,0.0,0.0,11.4006,0.1354,0.0987,0.0004,3.1524,0.0177,61.9961,13.8145,12.4372,0.368,0.6251,0.0068,45.5779,0.4223
BFGS,rosenbrock,512,0.0,0.0,0.0,0.0,25.7483,6.0706,2398.5,0.7071,1.0,0.0,0.0,22.5959,0.0104,0.0977,0.0001,0.8144,0.007,50.6771,1.1289,11.6014,0.0492,0.6508,0.0033,44.0034,0.1717
adam,rosenbrock,2,4.5637,6.4041,0.0354,9.0921,0.1173,0.0019,1000.0,0.0,0.0,1.056,0.9551,1.7497,1.1613,0.0009,0.0,0.5623,0.3537,73.0028,3.8114,150.9454,65.6581,1.0,0.0,0.0427,0.0186
adam,rosenbrock,8,4.5758,0.6953,4.0841,5.0674,0.1449,0.0033,1000.0,0.0,0.0,2.3519,0.1451,2.936,0.0343,0.0012,0.0002,0.2741,0.0157,79.5823,2.2381,48.0847,3.4821,1.0,0.0,0.1422,0.0217
adam,rosenbrock,32,30.2149,1.6464,29.0507,31.3791,0.1426,0.0033,1000.0,0.0,0.0,5.4571,0.0021,5.7352,0.0396,0.0016,0.0001,0.1488,0.0207,66.199,0.9675,64.2305,45.6189,1.0,0.0,0.1163,0.0799
adam,rosenbrock,128,122.8516,0.2171,122.6981,123.005,0.1419,0.0018,1000.0,0.0,0.0,11.0722,0.0097,11.4006,0.1354,0.0018,0.0004,0.0497,0.0376,34.3927,21.3624,21.034,17.9813,1.0,0.0,0.1864,0.0388
adam,rosenbrock,512,501.9931,1.2597,501.1024,502.8838,0.1791,0.0264,1000.0,0.0,0.0,22.3119,0.0279,22.5959,0.0104,0.0027,0.0004,0.0217,0.0016,18.6714,1.3019,14.9285,1.4035,1.0,0.0,0.2474,0.0284
gradient_descent,rosenbrock,2,,,,,0.1085,0.0006,1000.0,0.0,0.0,,,1.7497,1.1613,,,,,,,,,,,,
gradient_descent,rosenbrock,8,,,,,0.1406,0.0172,1000.0,0.0,0.0,,,2.936,0.0343,,,,,,,,,,,,
gradient_descent,rosenbrock,32,,,,,0.1339,0.0052,1000.0,0.0,0.0,,,5.7352,0.0396,,,,,,,,,,,,
gradient_descent,rosenbrock,128,,,,,0.1382,0.0063,1000.0,0.0,0.0,,,11.4006,0.1354,,,,,,,,,,,,
gradient_descent,rosenbrock,512,,,,,0.1736,0.0258,1000.0,0.0,0.0,,,22.5959,0.0104,,,,,,,,,,,,
momentum,rosenbrock,2,,,,,0.1099,0.0008,1000.0,0.0,0.0,,,1.7497,1.1613,,,,,,,,,,,,
momentum,rosenbrock,8,,,,,0.1408,0.0021,1000.0,0.0,0.0,,,2.936,0.0343,,,,,,,,,,,,
momentum,rosenbrock,32,,,,,0.1346,0.0015,1000.0,0.0,0.0,,,5.7352,0.0396,,,,,,,,,,,,
momentum,rosenbrock,128,,,,,0.134,0.0014,1000.0,0.0,0.0,,,11.4006,0.1354,,,,,,,,,,,,
momentum,rosenbrock,512,,,,,0.1497,0.0061,1000.0,0.0,0.0,,,22.5959,0.0104,,,,,,,,,,,,
newton-cg,rosenbrock,2,0.0201,0.0016,0.0189,0.0212,0.0961,0.0029,400.0,0.0,0.0,0.2993,0.0114,1.7497,1.1613,0.0054,0.0011,1.6477,0.3687,99.5229,0.1668,2.5232,1.7854,0.7343,0.0111,37.4395,0.9748
newton-cg,rosenbrock,8,0.0315,0.0001,0.0315,0.0316,3.1482,0.0086,1600.0,0.0,0.0,0.3325,0.0007,2.936,0.0343,0.0034,0.0,0.4202,0.0017,98.6726,0.1723,1.5883,0.0969,0.6506,0.0016,45.2754,0.0067
newton-cg,rosenbrock,32,0.0344,0.0142,0.0243,0.0444,130.3137,4.6533,4721.0,200.8183,1.0,0.341,0.0672,5.7352,0.0396,0.0042,0.0002,0.1665,0.0019,92.286,1.6593,3.1514,0.1436,0.6071,0.0029,48.9222,0.1329
newton-cg,rosenbrock,128,0.0527,0.0099,0.0457,0.0597,6825.1755,119.2658,14339.0,356.3818,1.0,0.4203,0.0368,11.4006,0.1354,0.0048,0.0001,0.0568,0.002,71.5302,10.1527,3.793,0.0279,0.501,0.0017,56.2249,0.1693
newton-cg,rosenbrock,512,500.3471,2.3221,498.7051,501.9891,2664.901,1708.8895,328.5,212.8391,1.0,22.2777,0.0499,22.5959,0.0104,0.0146,0.0058,0.0789,0.0541,19.3991,1.1488,5.4547,1.0473,0.4878,0.0962,55.0695,8.1929
rmsprop,rosenbrock,2,0.0281,0.004,0.0252,0.0309,0.1136,0.0043,1000.0,0.0,0.0,0.1934,0.0558,1.7497,1.1613,0.0131,0.0001,0.654,0.2754,98.0042,0.2173,15.9373,3.8908,-0.658,0.0904,146.4306,9.4599
rmsprop,rosenbrock,8,0.203,0.0042,0.2,0.206,0.1353,0.0019,1000.0,0.0,0.0,0.4402,0.0162,2.936,0.0343,0.0279,0.0,0.5747,0.0044,97.1615,0.0028,19.5813,0.8023,-0.8487,0.0089,159.4615,0.2777
rmsprop,rosenbrock,32,17.0039,0.0443,16.9726,17.0352,0.1362,0.0033,1000.0,0.0,0.0,4.184,0.0072,5.7352,0.0396,0.0557,0.0,0.2006,0.0272,81.5251,4.0758,23.5325,3.0389,-0.8283,0.0539,153.8418,4.1164
rmsprop,rosenbrock,128,111.8717,0.0925,111.8063,111.9371,0.1372,0.003,1000.0,0.0,0.0,10.5418,0.0058,11.4006,0.1354,0.1116,0.0006,0.0566,0.0353,39.2736,22.1735,23.8909,1.1058,-0.925,0.0233,162.8144,1.7663
