iteration,timestamp,function_value,gradient_norm,gradient_cosine_similarity,gradient_angle,step_size,improvement,best_so_far,relative_improvement,distance_to_minimum,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
0,0.00011277198791503906,55.57805319188849,105.81022008444677,0.0,0.0,0.0,0.0,55.57805319188849,0.0,5.614063709784823,-0.05814523719711916,-0.07777037221299136,-0.1264076935395188,-0.014868552094673608,-0.13115047796419882,-0.03928009017873733,-0.06146632663666918,0.04018476856461169,0.006766510793070567,0.016322440255057923,-0.05510882988840443,0.16020840965096625,0.025439204313350432,0.020671645430091253,-0.05443695635855958,0.1380674529927776,0.15391871034173085,0.054012341768238326,0.1453856079267795,0.0013807925215068777,-0.01788366374439754,0.23792634366880855,-0.05565291057255122,0.04476229141788274,-0.12195310882939138,-0.009692426936845713,0.004847809385648531,-0.017481172911639004,0.02716150720043877,0.12732382766608483,0.06831909527106693,-0.06392780696367556
1,0.0005078315734863281,55.13601068763186,104.76195570181567,0.9999740012680267,0.41315656171358683,0.005656854236744205,0.7953544229597967,55.13601068763186,0.7953544229597967,5.612623381810555,-0.05714523719961684,-0.07677037221343569,-0.1254076935398488,-0.013868552095787126,-0.1301504779645163,-0.03828009017943348,-0.06046632663739226,0.03918476856650603,0.007766510783072391,0.015322440261120295,-0.05410882988943317,0.15920840965130217,0.026439204308801652,0.01967164543409142,-0.05343695635954578,0.13706745299333783,0.15291871034215798,0.053012341777376744,0.14438560792713748,0.002380792519822978,-0.016883663746953013,0.23692634366898496,-0.0546529105729743,0.04376229141903988,-0.12095310882974557,-0.008692426938292063,0.005847809375704095,-0.016481172913508823,0.026161507205316348,0.1263238276665629,0.06731909527202545,-0.06292780696440448
2,0.0007214546203613281,54.70100612904539,103.72222282180117,0.9999732851434918,0.4188080492739133,0.005646256391453052,0.7889663273807567,54.70100612904539,1.578045671760067,5.611192485460228,-0.05614565891240065,-0.07577076242022954,-0.12440797290069301,-0.012869624202742798,-0.12915073520168474,-0.03728068695942881,-0.05946669324668012,0.03818590878039405,0.008753155093831328,0.014329282920683499,-0.053109191782576476,0.15820865201441822,0.02743369730052809,0.01867559632581135,-0.0524373339283552,0.13606758293784896,0.15191881542546723,0.05201439325926353,0.14338586567431694,0.0033793351772180838,-0.015884419493289243,0.2359265245247063,-0.05365321522731686,0.042763158477505996,-0.11995339092176449,-0.007693567867183756,0.006835005529245286,-0.015482230000687247,0.025163852551558896,0.1253239987164174,0.06631967476919257,-0.06192827692103366
3,0.0009212493896484375,54.273126511373,102.69147601234343,0.9999727602746872,0.42290223269123844,0.0056257952156154745,0.7822152606534803,54.273126511373,2.3479172183489583,5.609775600259116,-0.05514678163531186,-0.07477180709715292,-0.12340871906986182,-0.01187253029781326,-0.12815142193968698,-0.03628229073185362,-0.05846767747231932,0.037189003474412896,0.009711072821922604,0.013349421620274114,-0.052110163440684996,0.15720929920390214,0.028417688846960828,0.01768680753371403,-0.05143834792980281,0.135067931806786,0.15091909744170065,0.05102011098677176,0.14238655459871455,0.004375359904354688,-0.014886465413498749,0.23492700734309102,-0.05265403201970628,0.04176550282662938,-0.11895414429778488,-0.006696662343169476,0.0077951516864619656,-0.014485104882019553,0.024170395575996616,0.12432445759123133,0.0653212329477033,-0.060929538753593165
4,0.0011403560638427734,53.85242049032865,101.67011998737968,0.9999725053021491,0.4248768817210049,0.005592970965243042,0.775164520798693,53.85242049032865,3.1048815178932867,5.608379352045577,-0.05414888206852948,-0.07377377277817085,-0.1224101197527148,-0.010878067036817657,-0.12715271044667736,-0.03528531986954797,-0.05746953468239981,0.03619490459332368,0.010617736149560764,0.012391155945394512,-0.05111199695704062,0.1562105133948025,0.029384902593403033,0.016709189079113562,-0.0504402618686019,0.1340685901479074,0.14991962958658092,0.05003131133421958,0.14138784876743407,0.00536773765197337,-0.013890358479441308,0.2339279132646241,-0.0516555712021935,0.04076995791611264,-0.11795555832785626,-0.005702561268598921,0.008707929124610077,-0.01349060136799759,0.023183233225725262,0.12332532290373029,0.06432417753539392,-0.05993191996042229
5,0.0013427734375,53.438884653441804,100.65847942069358,0.99997259263633,0.42420155229194945,0.005545818374763766,0.76790575636449,53.438884653441804,3.848944710353577,5.607012639816404,-0.05315223334898746,-0.07277692759465765,-0.12141236238965158,-0.009887065133371507,-0.12615477253611954,-0.0342901999620133,-0.056472524113620484,0.035204497682272386,0.011442543967272217,0.011464937784564477,-0.05011494802700979,0.1552124555692462,0.030327533224813255,0.015747323336547756,-0.049443343284153944,0.1330696499136026,0.14892048642181152,0.04905002229424817,0.14038992242912562,0.0063552699969083165,-0.01289667777735546,0.23292936316861712,-0.05065804536938288,0.03977717949939857,-0.11695782201899124,-0.004712153016498673,0.009546358901273734,-0.012499567615440908,0.022204729371308397,0.12232671492267556,0.06332892386141965,-0.05893575287655122
6,0.001554250717163086,53.0324536264349,99.6567723259659,0.9999730471581841,0.4206693659769489,0.005484509458725514,0.7605529749407414,53.0324536264349,4.580224421795901,5.605685862791601,-0.05215710410620336,-0.07178154059773932,-0.1204156336349148,-0.008900388418269085,-0.12515777911354886,-0.033297362834168745,-0.05547690836797269,0.03421869611587177,0.012149203236854566,0.010583504780691458,-0.049119275320428445,0.15421528447066005,0.031236034023632762,0.01480652192747364,-0.04844786313260071,0.1320712042949332,0.14792174391443863,0.048078489181015906,0.1393929495584001,0.007336688692312898,-0.01190602399757352,0.23193147738196981,-0.049661669027854,0.03878784457700527,-0.11596112347588725,-0.00372636252038884,0.010278762392849916,-0.011512897873391853,0.02123753553013413,0.12132875538851579,0.06233589386936321,-0.05794137390947533
7,0.001779317855834961,52.63300428064585,98.6651082531521,0.9999738019890565,0.4147369580915939,0.005412873134233446,0.7532167917456853,52.63300428064585,5.298942194096981,5.604408579516724,-0.05116375754533091,-0.07078788108100068,-0.11942011884069699,-0.007918932657326995,-0.12416189973265122,-0.03230724553355582,-0.05448295290109026,0.03323843410507873,0.012703406237273625,0.009761641837069877,-0.04812523986241426,0.15321915539987888,0.03209901794555804,0.01389285163714606,-0.047454095164620236,0.1310733475536805,0.1469234794961656,0.04711917402279262,0.13839710340285816,0.008310655781925257,-0.010919018842140124,0.23093437539340253,-0.04866665816362433,0.03780265019323011,-0.1149656493673277,-0.0027461504323797077,0.010874671554562986,-0.010531534753538923,0.02028460809996213,0.12033156732660807,0.06134551509123272,-0.0569491227578649
8,0.0019750595092773438,52.24037952561697,97.68352628874378,0.9999747056361376,0.4075214064776248,0.005337689292390791,0.7459668327792034,52.24037952561697,6.005380675620079,5.603186312904538,-0.050172450564856176,-0.06979621790872037,-0.11842600155044652,-0.00694362411050135,-0.12316730216420542,-0.03132028929282249,-0.053490925505450426,0.032264660005985143,0.013083419231541531,0.00901535614015415,-0.04713310444561345,0.15222421884977524,0.032903388999945604,0.013013108046306392,-0.04646231530856389,0.13007617485371034,0.14592577214258803,0.04617474630570162,0.13740255603552,0.009275764390298593,-0.009936304351222365,0.22993817557522914,-0.04767322981084374,0.03682231208406174,-0.11397158440235007,-0.0017725125385302026,0.011313166380109565,-0.00955647166773609,0.019349219560399887,0.11933527485866789,0.060358219589033923,-0.05595934161883493
9,0.003798961639404297,51.85442047647813,96.71205353930564,0.9999755996100534,0.40025512067624147,0.005265291928316309,0.7388136392645819,51.85442047647813,6.69982574336342,5.60201866159972,-0.04918343291585596,-0.06880681885463692,-0.11743346300511746,-0.005975417814782516,-0.12217415198123932,-0.030336938474402143,-0.05250109579159789,0.031298331982947236,0.01328630456498161,0.008360372645588992,-0.046143133099590186,0.15123061900206833,0.03363483864995014,0.012174712377526204,-0.04547280106945622,0.1290797820929445,0.14492870247108358,0.04524806251140547,0.1364094779151027,0.010230540312217684,-0.008958542149152707,0.22894299491460943,-0.04668160162480654,0.03584756317459144,-0.11297911082007178,-0.0008064795032603503,0.011588613385663126,-0.008588754647786044,0.01843496041700886,0.11834000301293594,0.059374442870789884,-0.05497237438939706
10,0.0039408206939697266,51.47498760105435,95.75074163388364,0.999976390820343,0.393712254997787,0.005198794119672169,0.7317271544783668,51.47498760105435,7.3825284535748645,5.600900039909091,-0.048196946409137804,-0.06781994995601706,-0.11644268166590954,-0.0050152955733599215,-0.12118261216350555,-0.029357639504287023,-0.05151373467068632,0.030340417073917374,0.01332560002746237,0.0078101493148585235,-0.04515559063916632,0.1502384921527728,0.03427880040328471,0.011385509010453381,-0.04448583095482414,0.128084265737188,0.14393235285452663,0.04434213190386546,0.1354180374561768,0.01117344453410168,-0.007986412610748155,0.22794894875606492,-0.0456919914622158,0.03487915192471629,-0.11198840789680889,0.00015088322490660992,0.011710153668866288,-0.007629482710935977,0.017545728036917885,0.11734587753337758,0.058394622787971834,-0.053988565867630324
