method,dimension,iteration,x,f_val,dist_to_min,step_size,grad_norm,grad_cosine_sim,rel_improvement_f,rel_improvement_dist
GradientDescent,8,0,"[421.3800729431223, 420.85419109753224, 421.50510819076686, 422.23005579325746, 420.7747768707354, 420.774790467747, 422.2765858731795, 421.60428060762314]",0.536635757512613,2.0617534828865365,,0.5205600500884994,,,
GradientDescent,8,1,"[421.3799691149628, 420.85422000555764, 421.5049727927189, 422.2297372994666, 420.77482581657995, 420.77483941016084, 422.2762556251577, 421.60412016739303]",0.5363648089705748,2.0612329228418615,0.0005205600500873844,0.5204285633219102,0.999999999999998,0.0005049021393843147,0.0002524841349830674
GradientDescent,8,2,"[421.37986531301726, 420.8542489062886, 421.5048374288591, 422.22941888613155, 420.774874750075, 420.77488834022614, 422.2759254605625, 421.6039597676775]",0.5360939972870256,2.0607124942839596,0.0005204285633108081,0.5202971097826308,0.9999999999999981,0.0005049020349955724,0.0002524841089692977
GradientDescent,8,3,"[421.379761537279, 420.85427779972696, 421.50470209917887, 422.229100553232, 420.7749236712238, 420.774937257946, 422.2755953793728, 421.60379940846633]",0.5358233223932984,2.0601921971795925,0.0005202971097741843,0.520165689462269,0.9999999999999981,0.0005049019296931222,0.0002524840829617881
GradientDescent,8,4,"[421.37965778774145, 420.8543066858745, 421.5045668036696, 422.2287823007476, 420.77497258002944, 420.7749861633236, 422.2752653815675, 421.60363908974927]",0.5355527842202719,2.0596720314955275,0.0005201656894687209,0.5200343023524453,0.9999999999999983,0.0005049018243890527,0.00025248405696181946
GradientDescent,8,5,"[421.37955406439795, 420.85433556473316, 421.5044315423226, 422.228464128658, 420.775021476495, 420.77503505636196, 422.27493546712554, 421.60347881151614]",0.5352823826988242,2.0591519971985757,0.0005200343023528196,0.5199029484447497,0.9999999999999986,0.0005049017191486075,0.00025248403095234646
GradientDescent,8,6,"[421.3794503672419, 420.85436443630476, 421.5042963151293, 422.228146036943, 420.7750703606236, 420.7750839370642, 422.27460563602585, 421.60331857375667]",0.5350121177607434,2.058632094255556,0.0005199029484179146,0.5197716277308311,0.9999999999999981,0.0005049016123380692,0.0002524840049335543
GradientDescent,8,7,"[421.3793466962666, 420.8543933005911, 421.504161122081, 422.22782802558214, 420.7751192324183, 420.7751328054335, 422.27427588824736, 421.60315837646067]",0.5347419893350889,2.058112322633245,0.0005197716277063812,0.5196403402022286,0.9999999999999979,0.0005049015091193669,0.0002524839789302196
GradientDescent,8,8,"[421.37924305146555, 420.854422157594, 421.5040259631691, 422.2275100945552, 420.77516809188234, 420.7751816614729, 422.273946223769, 421.60299821961786]",0.534471997354558,2.057592682298435,0.0005196403402024656,0.519509085850609,0.9999999999999979,0.000504901402761766,0.0002524839529384513
GradientDescent,8,9,"[421.3791394328321, 420.8544510073154, 421.503890838385, 422.22719224384184, 420.7752169390187, 420.77523050518556, 422.2736166425697, 421.60283810321806]",0.5342021417495744,2.0570731732179857,0.0005195090858394291,0.5193778646675711,0.9999999999999981,0.0005049012975783416,0.00025248392693017917
GradientDescent,8,10,"[421.3790358403597, 420.854479849757, 421.5037557477201, 422.2268744734218, 420.7752657738306, 420.77527933657456, 422.2732871446285, 421.60267802725105]",0.5339324224514712,2.056553795358738,0.0005193778646348393,0.5192466766447393,0.9999999999999983,0.0005049011919341856,0.000252483900917883
GradientDescent,8,11,"[421.3789322740416, 420.85450868492075, 421.50362069116574, 422.2265567832747, 420.77531459632104, 420.775328155643, 422.27295772992426, 421.60251799170663]",0.5336628393911269,2.056034548687466,0.0005192466766564873,0.5191155217737204,0.9999999999999981,0.0005049010867453082,0.0002524838749386741
GradientDescent,8,12,"[421.3788287338713, 420.8545375128084, 421.50348566871327, 422.22623917338035, 420.7753634064932, 420.77537696239403, 422.272628398436, 421.60235799657454]",0.5333933924998746,2.0555154331710703,0.0005191155217772442,0.5189844000461287,0.9999999999999983,0.0005049009812257517,0.00025248384893488876
GradientDescent,8,13,"[421.3787252198421, 420.8545663334219, 421.5033506803541, 422.22592164371844, 420.7754122043502, 420.77542575683077, 422.27229915014266, 421.6021980418446]",0.5331240817085927,2.0549964487764107,0.0005189844000386132,0.5188533114535838,0.9999999999999981,0.0005049008762926497,0.0002524838229304554
GradientDescent,8,14,"[421.3786217319476, 420.85459514676296, 421.5032157260797, 422.22560419426867, 420.77546098989507, 420.77547453895625, 422.27196998502325, 421.6020381275066]",0.5328549069490691,2.054477595470372,0.000518853311414763,0.5187222559877475,0.9999999999999981,0.0005049007703064624,0.00025248379691734853
GradientDescent,8,15,"[421.378518270181, 420.8546239528335, 421.5030808058814, 422.22528682501076, 420.77550976313097, 420.77552330877364, 422.2716409030567, 421.60187825355035]",0.532585868152637,2.0539588732197798,0.0005187222559660175,0.5185912336402757,0.9999999999999983,0.0005049006641837245,0.000252483770928385
GradientDescent,8,16,"[421.3784148345358, 420.8546527516353, 421.5029459197505, 422.22496953592446, 420.775558524061, 420.77557206628603, 422.27131190422205, 421.6017184199656]",0.5323169652497199,2.053440281991509,0.0005185912336409163,0.518460244402692,0.9999999999999981,0.0005049005596971036,0.00025248374494366666
GradientDescent,8,17,"[421.3783114250054, 420.8546815431702, 421.5028110676785, 422.2246523269895, 420.77560727268826, 420.7756208114965, 422.2709829884982, 421.6015586267422]",0.5320481981721059,2.052921821752437,0.0005184602444397453,0.5183292882666886,0.9999999999999981,0.0005049004543523156,0.00025248371896597705
GradientDescent,8,18,"[421.37820804158315, 420.8547103274401, 421.5026762496568, 422.2243351981856, 420.77565600901585, 420.7756695444081, 422.27065415586424, 421.6013988738699]",0.5317795668515828,2.052403492469539,0.0005183292882631346,0.5181983652238901,0.9999999999999983,0.0005049003482128717,0.00025248369295224215
GradientDescent,8,19,"[421.3781046842625, 420.85473910444676, 421.5025414656768, 422.22401814949257, 420.7757047330469, 420.77571826502407, 422.2703254062991, 421.60123916133864]",0.5315110712199385,2.051885294109682,0.0005181983652192701,0.5180674752659885,0.9999999999999986,0.0005049002413424124,0.0002524836669584325
GradientDescent,8,20,"[421.37800135303684, 420.854767874192, 421.5024067157299, 422.22370118089015, 420.77575344478447, 420.7757669733474, 422.26999673978185, 421.6010794891381]",0.5312427112066871,2.05136722663982,0.0005180674752215811,0.5179366183845332,0.9999999999999981,0.000504900138082581,0.0002524836409466577
GradientDescent,8,21,"[421.3778980478996, 420.85479663667775, 421.5022719998074, 422.22338429235805, 420.7758021442317, 420.77581566938125, 422.26966815629146, 421.6009198572581]",0.5309744867454356,2.0508492900268007,0.0005179366183760312,0.5178057945712463,0.9999999999999977,0.0005049000308018611,0.00025248361497314913
GradientDescent,8,22,"[421.3777947688441, 420.85482539190576, 421.50213731790086, 422.2230674838761, 420.77585083139166, 420.77586435312867, 422.26933965580696, 421.60076026568845]",0.5307063977670623,2.050331484237627,0.0005178057945281163,0.5176750038177114,0.9999999999999979,0.0005048999246960061,0.00025248358896580057
GradientDescent,8,23,"[421.3776915158639, 420.8548541398779, 421.50200267000156, 422.222750755424, 420.7758995062675, 420.7759130245928, 422.2690112383073, 421.600600714419]",0.5304384442024457,2.0498138092391343,0.0005176750038439686,0.5175442461155677,0.9999999999999979,0.0005048998198326391,0.00025248356301031053
GradientDescent,8,24,"[421.37758828895227, 420.85488288059594, 421.501868056101, 422.22243410698155, 420.7759481688622, 420.77596168377676, 422.2686829037716, 421.6004412034396]",0.5301706259838284,2.049296264998371,0.0005175442461119534,0.5174135214565035,0.9999999999999983,0.0005048997137076039,0.0002524835370074669
GradientDescent,8,25,"[421.37748508810273, 420.8549116140618, 421.5017334761905, 422.22211753852855, 420.775996819179, 420.7760103306836, 422.26835465217886, 421.60028173274]",0.5299029430420887,2.048778851482257,0.0005174135214593397,0.5172828298321341,0.9999999999999986,0.0005048996089568098,0.00025248351102327574
GradientDescent,8,26,"[421.3773819133086, 420.8549403402772, 421.50159893026154, 422.22180105004475, 420.7760454572209, 420.77605896531645, 422.26802648350815, 421.60012230231]",0.5296353953099242,2.0482615686577716,0.000517282829828778,0.517152171234126,0.9999999999999981,0.0005048995022155968,0.0002524834850336542
GradientDescent,8,27,"[421.3772787645634, 420.85496905924407, 421.50146441830555, 422.22148464150996, 420.77609408299105, 420.7761075876784, 422.26769839773846, 421.5999629121395]",0.5293679827182132,2.047744416491875,0.0005171521712371561,0.5170215456541529,0.9999999999999979,0.0005048993969796059,0.0002524834590513461
GradientDescent,8,28,"[421.37717564186056, 420.8549977709642, 421.5013299403139, 422.22116831290396, 420.7761426964925, 420.7761561977725, 422.26737039484885, 421.59980356221837]",0.529100705199653,2.047227394951567,0.000517021545645333,0.5168909530838243,0.9999999999999981,0.0005048992898809739,0.00025248343306135144
GradientDescent,8,29,"[421.3770725451934, 420.8550264754394, 421.501195496278, 422.22085206420655, 420.77619129772836, 420.77620479560187, 422.2670424748184, 421.59964425253634]",0.5288335626842127,2.046710504003835,0.0005168909530668041,0.5167603935148232,0.9999999999999983,0.0005048991861380159,0.00025248340707359604
GradientDescent,8,30,"[421.37696947455544, 420.8550551726715, 421.50106108618934, 422.2205358953975, 420.7762398867017, 420.7762533811696, 422.2667146376262, 421.5994849830833]",0.528566555105499,2.046193743615667,0.0005167603934999108,0.5166298669388417,0.9999999999999981,0.0005048990789435099,0.000252483381092376
GradientDescent,8,31,"[421.37686642994004, 420.85508386266235, 421.50092671003927, 422.2202198064567, 420.7762884634157, 420.77630195447887, 422.2663868832512, 421.59932575384903]",0.5282996823948451,2.045677113754037,0.0005166298669595442,0.516499373347467,0.9999999999999983,0.0005048989726574288,0.0002524833551280687
GradientDescent,8,32,"[421.3767634113407, 420.8551125454138, 421.50079236781926, 422.21990379736394, 420.7763370278734, 420.77635051553267, 422.26605921167254, 421.59916656482346]",0.5280329444831295,2.0451606143860275,0.0005164993733358248,0.5163689127323898,0.9999999999999981,0.000504898868207632,0.00025248332913179887
GradientDescent,8,33,"[421.37666041875076, 420.85514122092764, 421.50065805952073, 422.219587868099, 420.7763855800779, 420.7763990643341, 422.2657316228693, 421.59900741599637]",0.5277663413035043,2.0446442454786102,0.000516368912741623,0.5162384850853263,0.9999999999999981,0.0005048987613570262,0.00025248330316211354
GradientDescent,8,34,"[421.3765574521637, 420.8551698892057, 421.5005237851351, 422.21927201864173, 420.77643412003226, 420.7764476008863, 422.2654041168205, 421.59884830735757]",0.5274998727873026,2.0441280069988257,0.0005162384851055812,0.5161080903978746,0.9999999999999979,0.0005048986556125853,0.0002524832771892337
GradientDescent,8,35,"[421.37645451157294, 420.8551985502498, 421.50038954465384, 422.21895624897195, 420.7764826477396, 420.7764961251923, 422.2650766935053, 421.59868923889695]",0.5272335388672218,2.04361189891374,0.0005161080904037062,0.5159777286617566,0.9999999999999983,0.0005048985484555509,0.0002524832512046325
GradientDescent,8,36,"[421.3763515969719, 420.85522720406175, 421.50025533806837, 422.2186405590695, 420.776531163203, 420.7765446372552, 422.26474935290275, 421.5985302106044]",0.5269673394736856,2.043095921190391,0.0005159777286646878,0.5158473998685967,0.9999999999999983,0.0005048984442608945,0.0002524832252264997
GradientDescent,8,37,"[421.37624870835407, 420.8552558506434, 421.5001211653701, 422.21832494891424, 420.77657966642556, 420.7765931370781, 422.26442209499197, 421.5983712224697]",0.5267012745403008,2.042580073795836,0.0005158473998680515,0.5157171040101411,0.9999999999999981,0.0005048983370591884,0.00025248319924913744
GradientDescent,8,38,"[421.3761458457128, 420.8552844899966, 421.4999870265505, 422.21800941848596, 420.77662815741036, 420.77664162466414, 422.26409491975204, 421.59821227448276]",0.5264353439984006,2.0420643566971077,0.0005157171040388796,0.5155868410779605,0.9999999999999981,0.0005048982312265383,0.00025248317328879853
GradientDescent,8,39,"[421.3760430090416, 420.85531312212316, 421.499852921601, 422.21769396776455, 420.77667663616046, 420.7766901000163, 422.2637678271621, 421.5980533666334]",0.5261695477802277,2.041548769861329,0.000515586841085946,0.5154566110638491,0.9999999999999979,0.0005048981251033109,0.00025248314730521296
GradientDescent,8,40,"[421.3759401983339, 420.85534174702485, 421.49971885051303, 422.2173785967299, 420.77672510267894, 420.77673856313777, 422.26344081720123, 421.5978944989115]",0.52590388581757,2.0410333132555802,0.0005154566110538136,0.5153264139594096,0.9999999999999983,0.0005048980196184254,0.0002524831213235341
GradientDescent,8,41,"[421.37583741358316, 420.85537036470356, 421.49958481327803, 422.21706330536176, 420.7767735569689, 420.7767870140316, 422.2631138898485, 421.5977356713069]",0.5256383580431248,2.0405179868468877,0.0005153264139944904,0.5151962497563347,0.9999999999999979,0.0005048979131090245,0.00025248309537416783
GradientDescent,8,42,"[421.3757346547828, 420.85539897516105, 421.4994508098875, 422.2167480936401, 420.7768219990335, 420.7768354527008, 422.26278704508314, 421.5975768838095]",0.5253729643891347,2.040002790602426,0.0005151962497605584,0.5150661184463182,0.9999999999999981,0.000504897806503417,0.00025248306938853335
GradientDescent,8,43,"[421.37563192192624, 420.8554275783992, 421.4993168403328, 422.21643296154474, 420.7768704288757, 420.7768838791486, 422.2624602828842, 421.59741813640915]",0.5251077047873878,2.039487724489267,0.0005150661184559292,0.514936020021065,0.9999999999999983,0.000504897700732226,0.0002524830434211751
GradientDescent,8,44,"[421.37552921500696, 420.8554561744198, 421.4991829046055, 422.2161179090556, 420.7769188464987, 420.77693229337797, 422.26213360323084, 421.5972594290957]",0.5248425791696718,2.038972788474527,0.000514936020034078,0.5148059544722285,0.9999999999999986,0.0005048975958623842,0.00025248301745441363
GradientDescent,8,45,"[421.3754265340184, 420.8554847632247, 421.499049002697, 422.2158029361525, 420.7769672519055, 420.776980695392, 422.2618070061022, 421.59710076185905]",0.5245775874705032,2.0384579825253515,0.0005148059544668496,0.5146759217915485,0.9999999999999983,0.0005048974867622873,0.000252482991477516
GradientDescent,8,46,"[421.375323878954, 420.8555133448157, 421.49891513459875, 422.21548804281537, 420.7770156450992, 420.7770290851938, 422.26148049147736, 421.5969421346891]",0.5243127296198509,2.03794330660884,0.0005146759217996927,0.5145459219706503,0.9999999999999981,0.000504897382157461,0.0002524829655178593
GradientDescent,8,47,"[421.3752212498073, 420.8555419191946, 421.4987813003022, 422.2151732290241, 420.77706402608294, 420.7770774627865, 422.2611540593355, 421.5967835475756]",0.524048005550867,2.0374287606921526,0.0005145459219730562,0.5144159550012843,0.9999999999999981,0.0005048972760509933,0.0002524829395492481
GradientDescent,8,48,"[421.3751186465716, 420.8555704863632, 421.49864749979884, 422.2148584947586, 420.7771123948597, 420.7771258281731, 422.26082770965587, 421.5966250005086]",0.5237834151967036,2.0369143447424283,0.0005144159550072381,0.5142860208751376,0.9999999999999986,0.0005048971685050936,0.0002524829135864305
GradientDescent,8,49,"[421.3750160692405, 420.8555990463234, 421.4985137330801, 422.21454383999867, 420.7771607514327, 420.7771741813567, 422.26050144241754, 421.59646649347786]",0.5235189584882392,2.03640005872682,0.0005142860208885446,0.5141561195838747,0.9999999999999981,0.0005048970639230858,0.0002524828876265125
