experiment_num,timestamp,function,dimension,method,success,iterations,runtime,f_initial,f_final,x_initial,x_final,initial_distance_to_minimum,final_distance_to_minimum
1,20250116_005805,ackley,2,GradientDescent,True,384,0.038037776947021484,9.363319080870282,8.813151774046894,"[4.042298331824767, -1.1252056149134084]","[3.9709183152098144, -0.9927672062902478]",4.1959818254260774,4.093138037246495
1,20250116_005805,ackley,2,NewtonRaphson,False,10,0.0030312538146972656,9.363319080870282,12.256965218418316,"[4.042298331824767, -1.1252056149134084]","[4.669784558415771, -1.5468367685265636]",4.1959818254260774,4.919308062165256
1,20250116_005805,ackley,8,GradientDescent,False,500,0.04317522048950195,4.598908254267247,2.291291628772147,"[0.4113729431222925, -0.11450890246779624, 0.5364081907668768, 1.2613557932574624, -0.19392312926460434, -0.1939095322530578, 1.3078858731795115, 0.6355806076231377]","[0.008095068861491118, -0.0010736184431999886, 0.07789782897634748, 0.9379443111100625, -0.0019709702449844674, -0.001970795984526099, 0.9387230118244058, 0.9155918702009777]",2.061753482886579,1.6141224921816555
1,20250116_005805,ackley,8,NewtonRaphson,False,9,0.004072427749633789,4.598908254267247,9.578803597534817,"[0.4113729431222925, -0.11450890246779624, 0.5364081907668768, 1.2613557932574624, -0.19392312926460434, -0.1939095322530578, 1.3078858731795115, 0.6355806076231377]","[-4.581036712080167, -1.5259571617560763, 5.64925444846323e-13, 5.601631879480139, 1.2533281600115019e-12, 1.3693980074043964e-12, 8.84525915111045e-13, 0.9833168930788778]",2.061753482886579,7.460538482064376
1,20250116_005805,ackley,128,GradientDescent,False,500,0.04125475883483887,1.8024654543203167,1.3539521141774604,"[0.09853037984963692, -0.027426708160927616, 0.12847831553910669, 0.3021148267358251, -0.04644768186028099, -0.0464444251591904, 0.31325952287056963, 0.15223169083231128, -0.09312698117301242, 0.10762457011075291, -0.09192554918164712, -0.0923841796098721, 0.0479966886027973, -0.37952659114320825, -0.34216220378781537, -0.11153779996998393, -0.20090958633873948, 0.062335467712447745, -0.18011960507132377, -0.2801507050121594, 0.2907324646429548, -0.044785968978582856, 0.013395188395839214, -0.28261924715988224, -0.10798612502960739, 0.02200308735267984, -0.2283160922643317, 0.07452509301766927, -0.11914530301042142, -0.057861640931029745, -0.11935714072487877, 0.367425957163605, -0.0026773682051988387, -0.209812140381634, 0.16316358642408296, -0.24217185646800315, 0.04143109115740033, -0.38872868935847066, -0.263464761605034, 0.03905025099499242, 0.14648544276845812, 0.03399335762322308, -0.022940496306763643, -0.05972823870768821, -0.29328605284103804, -0.1427914281397331, -0.09137431015602929, 0.20969536274616304, 0.06816161848663368, -0.3497243135613346, 0.06428670577245489, -0.07638659605885248, -0.13427719225309423, 0.121334769140641, 0.2045135496149696, 0.18473277503099278, -0.16647083808326307, -0.06133671179315057, 0.06571085508358605, 0.19351337454975784, -0.09505108598745526, -0.03682812213479872, -0.21945741744807312, -0.23728474885364298, 0.16117615621137438, 0.2690296710336411, -0.014284240924716272, 0.19906515049244433, 0.07173569486442723, -0.1279687604720013, 0.07168800419892266, 0.3050916230146079, -0.0071066089432157715, 0.31036952098522613, -0.5196640334292064, 0.16303615563301121, 0.017267035066968025, -0.059312398570952725, 0.018202066747101998, -0.39426281483170844, -0.04357507113437821, 0.0708384029462863, 0.2931614908154326, -0.10280633471320058, -0.16037630761301427, -0.09953070955781125, 0.18158314560911606, 0.06521250001512609, -0.10508553821136439, 0.10181396048918993, 0.019256724927501686, 0.1921446334437248, -0.13926230528161346, -0.06499648856571928, -0.07778027872980178, -0.29030919067010835, 0.05873970613374611, 0.05178405924957241, 0.0010143275005794468, -0.046533724113087566, -0.28075909654850545, -0.08344103582066985, -0.06798234213512262, -0.1591432086279771, -0.031993335278311524, 0.08014928537703139, 0.37415203933015484, 0.03463001427956277, 0.05108881571925436, -0.014767415653905581, -0.38061580396258343, -0.0052594076562143465, 0.011947526415214727, 0.4886194193047461, -0.03815755764804636, 0.05981624240553387, -0.006885577617582802, -0.23182405870761802, 0.22669530419530798, 0.14915670689665628, 0.156912537609104, -0.18039005091403926, 0.27826438097147976, -0.27807727416701394, 0.1164115256612932, 0.43450830532294227, -0.19648709379090937, -0.11233328075611788]","[0.06913733198039697, -0.019023911935595213, 0.09094231881781957, 0.2345770356805171, -0.03227590537507845, -0.032273629726865385, 0.245184037404533, 0.1086795125118405, -0.06525877805249874, 0.07570096793093464, -0.06439843246752566, -0.06472677208598994, 0.03335859171243363, -0.31243170559048167, -0.273630626529004, -0.07854000900924027, -0.14659401772799655, 0.04341287670699354, -0.13011506207243026, -0.21424442111118283, 0.22394685885630183, -0.031115109935546545, 0.009284393407974018, -0.2164925450905248, -0.07596289294801126, 0.01525665515522407, -0.16906340171725595, 0.052014032103295395, -0.0840862553207503, -0.040269170527448356, -0.08424122434570533, 0.29961774744319275, -0.0018553084776726707, -0.15379527527748596, 0.11699735425141004, -0.18077832819930495, 0.028773553659619918, -0.32233138249754467, -0.19928666785021473, 0.02711336863736642, 0.10434807089712668, 0.023591007976940005, -0.01590750829906414, -0.04158001868984165, -0.2263140667840483, -0.10157772669574965, -0.06400393223144293, 0.15370022399756975, 0.047517028231276674, -0.28129958162401275, 0.044786072160621006, -0.05333256540078563, -0.09523284364324279, 0.08568937272931511, 0.14949836471795852, 0.13373253653363548, -0.11953469288480432, -0.04271049513596589, 0.045789158863387844, 0.14067875913800032, -0.06663815715401139, -0.025564931774950707, -0.1617018189470062, -0.17661768336379496, 0.11547735360526784, 0.20422964732354193, -0.009900923065651988, 0.14511326272238018, 0.05004086330557335, -0.09056645425326183, 0.05000715442484368, 0.23739079810603664, -0.004924869962604611, 0.24241436846335024, -0.47421547273399284, 0.11689978773206464, 0.011969860976634826, -0.04128789222036183, 0.012618584779356252, -0.32834811702560224, -0.030269654188067166, 0.04940678372787567, 0.22619836108000593, -0.07221767181331477, -0.11486662031474489, -0.06985706048700517, 0.13126038424604436, 0.04543806580170568, -0.07386373922357682, 0.07150188149695032, 0.013350408193698312, 0.13959060457865433, -0.09894107467027242, -0.04528591215348485, -0.05432067094461535, -0.22355545595584267, 0.04088566808493184, 0.03600845050378342, 0.0007028825829417594, -0.03233602911015763, -0.21479763204038183, -0.0583426608853048, -0.04739055835201338, -0.11392618483547205, -0.022199229861635434, 0.05600215769370084, 0.3067114218361968, 0.024034196949613975, 0.03552172721158232, -0.010236014587150679, -0.31359656497877797, -0.0036446544868923253, 0.008280605937698887, 0.43695010592426364, -0.02649119535559258, 0.041641848168377904, -0.004771676494601813, -0.17200580965958256, 0.16770919925379663, 0.10635824918532824, 0.11222833369321542, -0.13032654287868, 0.21253273474985707, -0.21236324242999233, 0.0820889793635789, 0.37342926733709214, -0.1430498438986024, -0.0791182595683507]",2.1223254246640932,1.6721006161911867
1,20250116_005809,ackley,128,NewtonRaphson,False,200,3.961832046508789,1.8024654543203167,5.709504752265371,"[0.09853037984963692, -0.027426708160927616, 0.12847831553910669, 0.3021148267358251, -0.04644768186028099, -0.0464444251591904, 0.31325952287056963, 0.15223169083231128, -0.09312698117301242, 0.10762457011075291, -0.09192554918164712, -0.0923841796098721, 0.0479966886027973, -0.37952659114320825, -0.34216220378781537, -0.11153779996998393, -0.20090958633873948, 0.062335467712447745, -0.18011960507132377, -0.2801507050121594, 0.2907324646429548, -0.044785968978582856, 0.013395188395839214, -0.28261924715988224, -0.10798612502960739, 0.02200308735267984, -0.2283160922643317, 0.07452509301766927, -0.11914530301042142, -0.057861640931029745, -0.11935714072487877, 0.367425957163605, -0.0026773682051988387, -0.209812140381634, 0.16316358642408296, -0.24217185646800315, 0.04143109115740033, -0.38872868935847066, -0.263464761605034, 0.03905025099499242, 0.14648544276845812, 0.03399335762322308, -0.022940496306763643, -0.05972823870768821, -0.29328605284103804, -0.1427914281397331, -0.09137431015602929, 0.20969536274616304, 0.06816161848663368, -0.3497243135613346, 0.06428670577245489, -0.07638659605885248, -0.13427719225309423, 0.121334769140641, 0.2045135496149696, 0.18473277503099278, -0.16647083808326307, -0.06133671179315057, 0.06571085508358605, 0.19351337454975784, -0.09505108598745526, -0.03682812213479872, -0.21945741744807312, -0.23728474885364298, 0.16117615621137438, 0.2690296710336411, -0.014284240924716272, 0.19906515049244433, 0.07173569486442723, -0.1279687604720013, 0.07168800419892266, 0.3050916230146079, -0.0071066089432157715, 0.31036952098522613, -0.5196640334292064, 0.16303615563301121, 0.017267035066968025, -0.059312398570952725, 0.018202066747101998, -0.39426281483170844, -0.04357507113437821, 0.0708384029462863, 0.2931614908154326, -0.10280633471320058, -0.16037630761301427, -0.09953070955781125, 0.18158314560911606, 0.06521250001512609, -0.10508553821136439, 0.10181396048918993, 0.019256724927501686, 0.1921446334437248, -0.13926230528161346, -0.06499648856571928, -0.07778027872980178, -0.29030919067010835, 0.05873970613374611, 0.05178405924957241, 0.0010143275005794468, -0.046533724113087566, -0.28075909654850545, -0.08344103582066985, -0.06798234213512262, -0.1591432086279771, -0.031993335278311524, 0.08014928537703139, 0.37415203933015484, 0.03463001427956277, 0.05108881571925436, -0.014767415653905581, -0.38061580396258343, -0.0052594076562143465, 0.011947526415214727, 0.4886194193047461, -0.03815755764804636, 0.05981624240553387, -0.006885577617582802, -0.23182405870761802, 0.22669530419530798, 0.14915670689665628, 0.156912537609104, -0.18039005091403926, 0.27826438097147976, -0.27807727416701394, 0.1164115256612932, 0.43450830532294227, -0.19648709379090937, -0.11233328075611788]","[-1.9988607603244153e-154, 4.218579804689957e-55, 7.818104691544677e-79, 5.649231590333904, 3.164285832861739e-10, 3.164285832861739e-10, 1.9546366812712113, 3.164285497852451e-10, -1.9988626405503214e-154, 4.21858373978194e-55, 7.817875589736592e-79, 3.350090267407053e-17, 3.1642858328614786e-10, 3.1642858328614786e-10, -1.5354474739876274, 3.1642854978524506e-10, -1.9988525624529906e-154, 4.218581815000499e-55, 7.817898652295953e-79, -2.5599828771070574, -2.9307886308619064, 3.164285832861663e-10, 3.164285832861663e-10, 1.535447473596044, -1.9988168386037246e-154, 4.218587643943317e-55, 7.818077896588054e-79, 3.350092888040924e-17, 3.16428583286174e-10, 3.16428583286174e-10, 3.16428583286174e-10, 3.164285497852452e-10, -1.9988168386037246e-154, 4.218587643943317e-55, 7.818077896588054e-79, -0.9775358914509473, 3.1642858328619154e-10, 1.5354474734748782, 2.5599828750833082, 3.16428549785245e-10, -1.9989057111556806e-154, 4.2185596002576475e-55, 7.817908664931462e-79, 3.35009125084192e-17, -0.9775358914518267, 3.164285832861831e-10, 3.164285832861831e-10, 3.1642854978524506e-10, -1.998861718975147e-154, -5.649049575420826, 7.817915254019496e-79, 3.350092855658657e-17, 3.164285832861736e-10, 3.164285832861736e-10, 3.164285832861736e-10, 3.1642854978524506e-10, -1.998935922361953e-154, 4.218581641862174e-55, 7.817915254019496e-79, 3.350092855658657e-17, 3.164285832861736e-10, 3.164285832861736e-10, 3.164285832861736e-10, 0.5117305971663586, -1.9988242423700303e-154, -0.9775358914108411, 7.81803496459608e-79, -1.2476936678221628e-84, 3.1642858328618265e-10, 3.1642858328618265e-10, 3.1642858328618265e-10, 5.843318169385605, -1.9989121065707916e-154, 2.5599828753562446, -0.5117305981093127, -1.2477157392510067e-84, 3.1642858328616626e-10, 3.1642858328616626e-10, 3.1642858328616626e-10, -1.5354474738648243, -1.9988370102017403e-154, 4.218563814196807e-55, -2.930788631030034, -1.2476854384733222e-84, 3.1642858328617345e-10, 3.1642858328617345e-10, 3.1642858328617345e-10, 3.164285497852451e-10, -1.9988396795636433e-154, 4.218587745564067e-55, -1.2476854384733222e-84, -1.2476854384733222e-84, 3.1642858328617345e-10, 3.1642858328617345e-10, 3.1642858328617345e-10, 1.9546366812686196, -1.9988498537232765e-154, -1.9988498537232765e-154, -1.2477150417161962e-84, -1.2477150417161962e-84, 11.489758320560197, 3.164285832861829e-10, 3.164285497852451e-10, 3.164285497852451e-10, -1.9988369985483758e-154, -1.9988369985483758e-154, -1.2477284014206127e-84, -1.2477284014206127e-84, 3.164285832861829e-10, 3.164285832861829e-10, 3.164285497852451e-10, 3.164285497852451e-10, -1.9988369985483758e-154, 0.5117305971440932, -1.2477321890457195e-84, -1.2477321890457195e-84, 3.1642858328617355e-10, 3.1642858328617355e-10, 3.164285497852451e-10, 3.164285497852451e-10, -1.998931349157332e-154, -1.998931349157332e-154, -1.2477321890457195e-84, -1.2477321890457195e-84, 3.1642858328617355e-10, 0.5117305971678244, 3.164285497852451e-10, 3.164285497852451e-10]",2.1223254246640932,16.964960362379262
1,20250116_005809,rastrigin,2,GradientDescent,True,46,0.005479097366333008,20.895426771239773,16.914202849554826,"[4.042298331824767, -1.1252056149134084]","[3.979783860311073, -0.9949586376715385]",4.1959818254260774,4.102270379371612
1,20250116_005809,rastrigin,2,NewtonRaphson,True,5,0.001383066177368164,20.895426771239773,16.91420284955482,"[4.042298331824767, -1.1252056149134084]","[3.9797838603007536, -0.9949586376523352]",4.1959818254260774,4.102270379356943
1,20250116_005809,rastrigin,8,GradientDescent,True,55,0.004980802536010742,98.9113196861889,3.979836228373159,"[0.4113729431222925, -0.11450890246779624, 0.5364081907668768, 1.2613557932574624, -0.19392312926460434, -0.1939095322530578, 1.3078858731795115, 0.6355806076231377]","[3.160056283387902e-12, -1.7510333769507224e-13, 0.9949586376375512, 0.9949586376529437, -3.5317916257696964e-13, -3.5314062140373435e-13, 0.9949586376532328, 0.9949586376506039]",2.061753482886579,1.9899172752971659
1,20250116_005809,rastrigin,8,NewtonRaphson,False,7,0.02619004249572754,98.9113196861889,443.3151825424458,"[0.4113729431222925, -0.11450890246779624, 0.5364081907668768, 1.2613557932574624, -0.19392312926460434, -0.1939095322530578, 1.3078858731795115, 0.6355806076231377]","[0.5025460365546747, 1.5930919111324523e-58, 0.5025460365546747, 7.538567172919549, -1.5076407318703584, -1.5076407318703584, 15.582600961540084, 0.5025460365546747]",2.061753482886579,17.46284817710358
