method,dimension,iteration,x,f_val,dist_to_min,step_size,grad_norm,grad_cosine_sim,rel_improvement_f,rel_improvement_dist,rel_improvement_grad
GradientDescent,32768,0,,99612.16515407572,2.4742427394017783,,93258.70923336403,,,,
GradientDescent,32768,1,,205257057.0876248,91.13100495654768,93.25870923336403,4647376.3682086915,-0.9667836448530247,-2059.5621489116534,-35.83187728726298,-48.83316203293597
GradientDescent,32768,2,,569923795561.7863,4559.099005231023,4647.376368208692,253441028.34169528,-0.9857359904678382,-2775.634351327001,-49.02796805988098,-53.53421635385707
GradientDescent,32768,3,,1782759252568499.5,248944.66262281736,253441.0283416953,14431551879.303328,-0.9920885955246949,-3127.0660089147445,-53.60391676890171,-55.942445245472896
GradientDescent,32768,4,,5.949673821857475e+18,14184520.650335623,14431551.879303325,842950232663.0009,-0.9949833293804812,-3336.3400324724266,-55.978609225404306,-57.41022779205736
GradientDescent,32768,5,,2.0680846076581765e+22,828835086.1813569,842950232.663001,50069919755839.49,-0.9965386189651284,-3474.9630016364918,-57.43236487246015,-58.39842924968586
GradientDescent,32768,6,,7.3923200322782025e+25,49243887414.07368,50069919755.839485,3009660958655816.5,-0.9974687234802864,-3573.47659776792,-58.41337213528464,-59.109162813363795
GradientDescent,32768,7,,2.696772819687173e+29,2960539012614.6914,3009660958655.8164,1.825207787095732e+17,-0.9980687499664802,-3647.0736871670147,-59.11992895119371,-59.64496340846683
GradientDescent,32768,8,,9.991923432585361e+32,179565838410649.1,182520778709573.2,1.1145333206525153e+19,-0.998478199941859,-3704.1409594614756,-59.65308973991867,-60.06336651269493
GradientDescent,32768,9,,3.7476543458333165e+36,1.0966035145017648e+16,1.1145333206525154e+16,6.843142781264276e+20,-0.998769896636982,-3749.683610736626,-60.06971817177955,-60.399176269201945
GradientDescent,32768,10,,1.419564611767019e+40,6.733614688940571e+17,6.843142781264278e+17,4.220487783359083e+22,-0.9989848985957887,-3786.8749766378705,-60.40427784421198,-60.67470003569537
GradientDescent,32768,11,,5.421069031889551e+43,4.1532186845210034e+19,4.220487783359083e+19,2.61268875900368e+24,-0.9991478157436736,-3817.825143254039,-60.6788883293595,-60.90490040760745
GradientDescent,32768,12,,2.0843965277033698e+47,2.571191302235746e+21,2.61268875900368e+21,1.6224845730037494e+26,-0.9992741438629996,-3843.9916712771296,-60.9084015926863,-61.10018577270054
GradientDescent,32768,13,,8.061222417101884e+50,1.596790979119776e+23,1.6224845730037497e+23,1.0102889446130474e+28,-0.999374039452894,-3866.413090533163,-61.10315730810488,-61.26801545130702
GradientDescent,32768,14,,3.133275166383851e+54,9.943308484010932e+24,1.0102889446130473e+25,6.305604290338845e+29,-0.999454383510816,-3885.8486741373217,-61.270570250165974,-61.413870051344226
GradientDescent,32768,15,,1.2231885740662966e+58,6.206224483383351e+26,6.305604290338844e+26,3.943642385010879e+31,-0.9995199688895221,-3902.8657925406296,-61.4160911165846,-61.541862816433714
GradientDescent,32768,16,,4.793549430436241e+61,3.88160940248521e+28,3.943642385010879e+28,2.4708945907767194e+33,-0.9995742136163548,-3917.8965071026178,-61.54381247210596,-61.65513830990797
GradientDescent,32768,17,,1.8849556309043935e+65,2.43209473307837e+30,2.4708945907767194e+30,1.5506380703662882e+35,-0.9996196054805419,-3931.2753593319085,-61.65686422547347,-61.756140069854176
GradientDescent,32768,18,,7.434765006184839e+68,1.5263262130069628e+32,1.5506380703662882e+32,9.745263259741937e+36,-0.9996579879562956,-3943.2652571178405,-61.757679306144844,-61.84679478712871
GradientDescent,32768,19,,2.9405057663192935e+72,9.592681935532275e+33,9.745263259741937e+33,6.132561805486059e+38,-0.9996907490928599,-3954.0755993943894,-61.84817658103415,-61.92864176199232
GradientDescent,32768,20,,1.1658738416747842e+76,6.0366641405871126e+35,6.132561805486059e+35,3.8636933517463026e+40,-0.9997189492271183,-3963.875209662107,-61.929889484052325,-62.00292560100944
GradientDescent,32768,21,,4.632951478400337e+79,3.803343385897898e+37,3.8636933517463026e+37,2.4368570399796843e+42,-0.9997434090929044,-3972.8017209006734,-62.004058157325176,-62.07066369224875
GradientDescent,32768,22,,1.8448266794510407e+83,2.398833198922685e+39,2.4368570399796845e+39,1.5384535482818972e+44,-0.9997647716976539,-3980.9684882346783,-62.07169654512711,-62.132696052400476
GradientDescent,32768,23,,7.359880232124066e+86,1.5144707633740387e+41,1.538453548281897e+41,9.721445302571766e+45,-0.9997835464705916,-3988.469750249992,-62.13364197453107,-62.18972264991952
GradientDescent,32768,24,,2.9412911509976503e+90,9.57003045423452e+42,9.721445302571766e+42,6.148068684176921e+47,-0.9998001412158231,-3995.384531041196,-62.190592289241486,-62.24233169887276
GradientDescent,32768,25,,1.1773340289036462e+94,6.052387184677413e+44,6.1480686841769215e+44,3.8911754638587385e+49,-0.9998148855433713,-4001.7796245343097,-62.243134006949475,-62.291021355589706
GradientDescent,32768,26,,4.719592933928594e+97,3.830662608223039e+46,3.8911754638587383e+46,2.464523317570263e+51,-0.9998280482597385,-4007.7119016882243,-62.29176391624407,-62.33621653561425
GradientDescent,32768,27,,1.894553207341258e+101,2.426223168443537e+48,2.464523317570263e+48,1.5619725401361872e+53,-0.9998398504211522,-4013.2301123504526,-62.33690581977432,-62.37828207996477
GradientDescent,32768,28,,7.614922271872516e+104,1.5377141293921156e+50,1.5619725401361873e+50,9.905644536048429e+54,-0.9998504752350307,-4018.3763059096136,-62.37892364528796,-62.41753316088875
GradientDescent,32768,29,,3.0643870919153677e+108,9.751895734329526e+51,9.905644536048429e+51,6.285551811991815e+56,-0.9998600756455682,-4023.186961480084,-62.418131809614145,-62.45424357917909
GradientDescent,32768,30,,1.2345477568011947e+112,6.188046274189356e+53,6.285551811991815e+53,3.9906121435846206e+58,-0.9998687801997953,-4027.6938946396353,-62.454803484061294,-62.4886524357524
GradientDescent,32768,31,,4.97883850063874e+115,3.9287396667982107e+55,3.9906121435846206e+55,2.5348755241212633e+60,-0.9998766976242812,-4031.9249907182866,-62.489177241372225,-62.52096953837958
GradientDescent,32768,32,,2.0099097053057205e+119,2.4955928919397986e+57,2.5348755241212632e+57,1.6109483721956026e+62,-0.9998839204259493,-4035.9048022904685,-62.521462443288385,-62.55137981593995
GradientDescent,32768,33,,8.121351779643991e+122,1.5859952925704614e+59,1.6109483721956027e+59,1.0242417313437598e+64,-0.9998905277476909,-4039.655039480333,-62.55184363975663,-62.580046947612274
GradientDescent,32768,34,,3.284433005749482e+126,1.008383486186824e+61,1.0242417313437598e+61,6.514906299280657e+65,-0.9998965876500978,-4043.1949750063145,-62.580484186211685,-62.60711636630338
GradientDescent,32768,35,,1.3293879817359708e+130,6.41407820802484e+62,6.514906299280657e+62,4.145611937727797e+67,-0.9999021589476715,-4046.5417809066103,-62.607529237507755,-62.63271775966347
GradientDescent,32768,36,,5.384966268486183e+133,4.081477328794403e+64,4.145611937727797e+64,2.6389708299853214e+69,-0.9999072926965078,-4049.710810138562,-62.63310824130502,-62.65696716494253
GradientDescent,32768,37,,2.1829123024902697e+137,2.5981597788612844e+66,2.6389708299853216e+66,1.6804957994170947e+71,-0.9999120334073264,-4052.7158334028495,-62.65733702675583,-62.67996873335815
GradientDescent,32768,38,,8.855134898527216e+140,1.654516449958277e+68,1.6804957994170947e+68,1.0705063457947473e+73,-0.9999164200405655,-4055.5692393713043,-62.68031956384971,-62.70181622388277
GradientDescent,32768,39,,3.5945491514917486e+144,1.053962541678324e+70,1.0705063457947473e+70,6.821544154103445e+74,-0.9999204868273895,-4058.2822048251273,-62.702149453086584,-62.722594274199366
GradientDescent,32768,40,,1.460057281378521e+148,6.716156144416149e+71,6.821544154103446e+71,4.348214561590459e+76,-0.999924263950773,-4060.8648399134927,-62.72291119304277,-62.74237948712574
GradientDescent,32768,41,,5.934149226799658e+151,4.281058004326912e+73,4.3482145615904593e+73,2.7724755816149723e+78,-0.9999277781134326,-4063.326312729935,-62.742681263987706,-62.76124136341781
