optimizer,lr,momentum,noise_scale,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
SGD+Momentum,0.002154434690031882,0.95,0.001,5.27295460037016,3.2143537037734022,1000.0,0.0,2.3131162954666946,1.513789441801959
SGD+Momentum,0.021544346900318822,0.99,0.1,5.013509320366068,2.741792078356867,1000.0,0.0,2.080566150726633,1.397735738244549
SGD+Momentum,0.001,0.8,0.01,6.995648089272741,1.5997229034655638,1000.0,0.0,3.0811921078960807,0.8928526834692172
SGD+Momentum,0.0001,0.9,0.1,6.9956529579962226,1.5997202284785081,1000.0,0.0,3.081195444389901,0.8928776569471281
SGD+Momentum,0.002154434690031882,0.99,0.1,3.492339660359568,3.2677608003133436,1000.0,0.0,1.4976523115423461,1.5333845307442047
SGD+Momentum,0.01,0.8,0.01,6.995650505123022,1.599722823882658,1000.0,0.0,3.081167784151973,0.8928008021100359
SGD+Momentum,0.002154434690031882,0.99,0.01,4.366132306639248,3.1841829543962836,1000.0,0.0,1.8803045791921533,1.4935794906172126
SGD+Momentum,0.021544346900318822,0.9,0.001,4.3236491504718275,3.3294045772900382,1000.0,0.0,1.8583461444111655,1.5880113299804646
SGD+Momentum,0.021544346900318822,0.9,0.001,4.309215665196652,3.3425525353792147,1000.0,0.0,1.8573404891672443,1.5889531869054687
SGD+Momentum,0.1,0.9,0.01,21.158376281708236,0.9904572797149364,1000.0,0.0,84.77773053069271,57.194601492832966
SGD+Momentum,0.004641588833612777,0.9,0.001,6.312150681421878,2.72966502740413,1000.0,0.0,2.7945175032622407,1.3241556121551628
SGD+Momentum,0.00046415888336127773,0.99,0.01,3.6719719694999853,3.526861347816104,1000.0,0.0,1.6033454071256164,1.6331623321938091
SGD+Momentum,0.1,0.9,0.001,20.722916165365454,0.9741604051447398,1000.0,0.0,66.95039286629385,47.13397889081482
SGD+Momentum,0.046415888336127774,0.8,0.1,5.347794192664414,3.1017012192676856,1000.0,0.0,2.331239825372669,1.5169605420468169
SGD+Momentum,0.004641588833612777,0.95,0.001,4.6684691989320495,3.4619028803267673,1000.0,0.0,2.0440049861267573,1.607389678776123
SGD+Momentum,0.00046415888336127773,0.8,0.1,6.9956642733360965,1.5997212899991264,1000.0,0.0,3.0812107607770063,0.8929210782634396
SGD+Momentum,0.1,0.9,0.001,19.73158315748145,3.184800853515817,1000.0,0.0,70.53497457856938,55.865484073414926
SGD+Momentum,0.00046415888336127773,0.99,0.01,3.929378426268618,3.3388077583310483,1000.0,0.0,1.6984919623680519,1.563394610185196
SGD+Momentum,0.021544346900318822,0.8,0.01,5.9576795109764635,2.8985459353269754,1000.0,0.0,2.623027798009146,1.3944623439463686
SGD+Momentum,0.046415888336127774,0.99,0.1,20.375501327161007,3.171514707903425,1000.0,0.0,238.6567297219044,175.95741449051903
SGD+Momentum,0.046415888336127774,0.9,0.1,4.938280546355881,2.3943359033810467,1000.0,0.0,2.017199173307659,1.2351085495382739
SGD+Momentum,0.00021544346900318845,0.95,0.01,6.995648062629274,1.5997228423659549,1000.0,0.0,3.08118048706778,0.8928609605849535
SGD+Momentum,0.0001,0.95,0.1,6.995656062096259,1.599720731047452,1000.0,0.0,3.0812253281936934,0.892855714219294
SGD+Momentum,0.001,0.9,0.1,6.995688321571824,1.5997243351084625,1000.0,0.0,3.081034907228983,0.8927348568692344
SGD+Momentum,0.021544346900318822,0.99,0.1,5.18160655691435,3.121753847734836,1000.0,0.0,2.2539906654692685,1.544222045810814
SGD+Momentum,0.001,0.99,0.01,3.93307081684098,3.599223435721912,1000.0,0.0,1.7261798077648784,1.6590062264574927
SGD+Momentum,0.021544346900318822,0.9,0.01,4.377317769983942,3.271741064089525,1000.0,0.0,1.8660177624246193,1.579552721193354
SGD+Momentum,0.00021544346900318845,0.8,0.1,6.995653203492957,1.5997229230193828,1000.0,0.0,3.0811347364091324,0.8927686296452229
SGD+Momentum,0.00046415888336127773,0.9,0.001,6.995647886420779,1.5997228742157203,1000.0,0.0,3.08118792507397,0.8928559838232488
SGD+Momentum,0.004641588833612777,0.99,0.01,3.5184836772425783,3.2401647006723318,1000.0,0.0,1.5031889482535392,1.5282059851181373
SGD+Momentum,0.00046415888336127773,0.95,0.01,6.995648343840349,1.5997230141663652,1000.0,0.0,3.0811814314144113,0.8928891966865746
SGD+Momentum,0.004641588833612777,0.8,0.001,6.995647897800053,1.5997228756988264,1000.0,0.0,3.0811894651357985,0.8928533935563309
SGD+Momentum,0.00021544346900318845,0.8,0.1,6.99565511881779,1.5997217125890275,1000.0,0.0,3.081200273069726,0.8927668476144331
