optimizer,lr,beta1,beta2,epsilon,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
Adam,0.1,0.99,0.9995,1e-08,16.118672535142824,7.659244224317727,1000.0,0.0,3.8793022023105292,0.9945214579837701
Adam,0.004641588833612777,0.95,0.999,1e-08,16.118293810072082,7.659209013950217,750.65,1.0,3.879186651220766,0.9943899670224857
Adam,0.021544346900318822,0.9,0.999,1e-07,16.118293810072082,7.659209013950217,356.7,1.0,3.879186650871899,0.9943899669269154
Adam,0.00021544346900318845,0.9,0.9999,1e-06,25.489245294670745,9.365102897562455,1000.0,0.0,3.851262209465655,0.9665929066484851
Adam,0.00021544346900318845,0.95,0.9999,1e-07,25.585510959822052,9.40577665738252,1000.0,0.0,3.851116447800076,0.9663534758396647
Adam,0.002154434690031882,0.9,0.999,1e-08,16.118293810072082,7.659209013950217,546.6,1.0,3.87918665071167,0.9943899671316585
Adam,0.046415888336127774,0.99,0.9999,1e-06,16.118653367150564,7.659251925152206,1000.0,0.0,3.8790905068529837,0.9940910535525601
Adam,0.002154434690031882,0.95,0.9999,1e-07,16.118293810072082,7.659209013950217,803.7,1.0,3.8791866511950746,0.994389967166818
Adam,0.002154434690031882,0.99,0.9999,1e-08,16.11941883794991,7.659414432317414,1000.0,0.0,3.879742268743341,0.9948585351018988
Adam,0.001,0.99,0.9999,1e-07,16.122261169810038,7.659213122244247,1000.0,0.0,3.8795207661697346,0.9942521617752607
Adam,0.002154434690031882,0.99,0.999,1e-06,16.11978615083996,7.659502098285696,1000.0,0.0,3.8796722977155986,0.9947639757016428
Adam,0.002154434690031882,0.99,0.9999,1e-07,16.11941883794123,7.659414432309771,1000.0,0.0,3.8797422687509133,0.9948585350907225
Adam,0.021544346900318822,0.95,0.999,1e-07,16.118293810072082,7.659209013950217,722.6,1.0,3.8791866511646482,0.9943899672945095
Adam,0.046415888336127774,0.9,0.999,1e-06,16.118293810072082,7.659209013950217,352.65,1.0,3.8791866505292147,0.9943899668434506
Adam,0.021544346900318822,0.99,0.9995,1e-08,16.118842018898334,7.65925307738664,1000.0,0.0,3.879306527742263,0.9945468039532849
Adam,0.0001,0.99,0.9999,1e-08,44.65012712837421,14.985699759167128,1000.0,0.0,3.824413744961592,0.9479435392043475
Adam,0.0001,0.9,0.9999,1e-08,44.04814168445672,14.61781745112068,1000.0,0.0,3.826011982557469,0.9487035469372597
Adam,0.00021544346900318845,0.99,0.999,1e-08,26.86323058778398,9.990753639645245,1000.0,0.0,3.8489816739524123,0.9634821510548459
Adam,0.004641588833612777,0.95,0.999,1e-08,16.118293810072082,7.659209013950217,750.65,1.0,3.879186651220766,0.9943899670224857
Adam,0.0001,0.95,0.9995,1e-06,44.24611527640526,14.727740101367488,1000.0,0.0,3.8255480552896906,0.9484482654667061
Adam,0.00021544346900318845,0.99,0.9999,1e-08,26.40106745864111,9.778434270687843,1000.0,0.0,3.849849483907415,0.9643920543748938
Adam,0.046415888336127774,0.99,0.9995,1e-06,16.118765597404593,7.6592401562624275,1000.0,0.0,3.879186180516192,0.9946175618698365
Adam,0.0001,0.95,0.9999,1e-08,44.132884634948425,14.666443374625034,1000.0,0.0,3.8258025331497203,0.948597241708359
Adam,0.01,0.99,0.9995,1e-08,16.1189775471851,7.659256227617969,1000.0,0.0,3.8791004388592483,0.9943362972218305
Adam,0.0001,0.95,0.9999,1e-06,44.13288516665777,14.666443537955319,1000.0,0.0,3.825802532213244,0.9485972412599525
Adam,0.021544346900318822,0.95,0.9995,1e-07,16.118293810072082,7.659209013950218,717.45,1.0,3.8791866509483306,0.9943899669725699
Adam,0.001,0.9,0.9999,1e-06,16.118294013314244,7.659209056619028,996.85,0.05,3.879192605384541,0.9943907721196605
Adam,0.0001,0.99,0.999,1e-07,44.840869919518745,15.104209119229301,1000.0,0.0,3.8239547011371444,0.9476462481801091
Adam,0.00046415888336127773,0.99,0.9995,1e-07,16.152232371058254,7.657217439718491,1000.0,0.0,3.8813284031313273,0.9948488993791214
Adam,0.001,0.95,0.9999,1e-08,16.1182938159172,7.659209016518967,992.65,0.1,3.879188074029917,0.9943904714981374
