optimizer,lr,momentum,noise_scale,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
SGD+Momentum,0.01,0.99,0.1,,,1000.0,0.0,,
SGD+Momentum,0.004641588833612777,0.99,0.01,,,1000.0,0.0,,
SGD+Momentum,0.00021544346900318845,0.99,0.01,,,1000.0,0.0,,
SGD+Momentum,0.004641588833612777,0.95,0.01,,,1000.0,0.0,,
SGD+Momentum,0.002154434690031882,0.8,0.001,,,1000.0,0.0,,
SGD+Momentum,0.004641588833612777,0.8,0.001,,,1000.0,0.0,,
SGD+Momentum,0.002154434690031882,0.9,0.001,,,1000.0,0.0,,
SGD+Momentum,0.021544346900318822,0.9,0.001,,,1000.0,0.0,,
SGD+Momentum,0.1,0.95,0.001,,,1000.0,0.0,,
SGD+Momentum,0.1,0.9,0.1,,,1000.0,0.0,,
SGD+Momentum,0.021544346900318822,0.9,0.01,,,1000.0,0.0,,
SGD+Momentum,0.046415888336127774,0.95,0.01,,,1000.0,0.0,,
SGD+Momentum,0.046415888336127774,0.9,0.01,,,1000.0,0.0,,
SGD+Momentum,0.01,0.8,0.01,,,1000.0,0.0,,
SGD+Momentum,0.00046415888336127773,0.9,0.1,0.40615627728662196,1.1958002800262792,1000.0,0.0,0.3463754656512471,0.5526398275139908
SGD+Momentum,0.0001,0.9,0.001,2.8530022823813903,0.9737165864320028,1000.0,0.0,1.9397462653904967,0.25640302662654474
SGD+Momentum,0.021544346900318822,0.95,0.1,,,1000.0,0.0,,
SGD+Momentum,0.00046415888336127773,0.9,0.01,0.4059810831819456,1.1957007600063263,1000.0,0.0,0.34557624429971234,0.552794894414865
SGD+Momentum,0.001,0.9,0.01,,,1000.0,0.0,,
SGD+Momentum,0.0001,0.95,0.01,1.4246373588688779,1.9524800524528771,1000.0,0.0,1.2190486316804754,0.684538907536058
SGD+Momentum,0.1,0.9,0.01,,,1000.0,0.0,,
SGD+Momentum,0.0001,0.95,0.01,1.426192177387545,1.9568050012188458,1000.0,0.0,1.2194456986335909,0.6850680753811231
SGD+Momentum,0.021544346900318822,0.95,0.1,,,1000.0,0.0,,
SGD+Momentum,0.021544346900318822,0.99,0.001,,,1000.0,0.0,,
SGD+Momentum,0.002154434690031882,0.95,0.1,,,1000.0,0.0,,
SGD+Momentum,0.002154434690031882,0.8,0.01,,,1000.0,0.0,,
SGD+Momentum,0.002154434690031882,0.95,0.001,,,1000.0,0.0,,
SGD+Momentum,0.021544346900318822,0.8,0.001,,,1000.0,0.0,,
SGD+Momentum,0.046415888336127774,0.95,0.1,,,1000.0,0.0,,
SGD+Momentum,0.002154434690031882,0.99,0.1,,,1000.0,0.0,,
SGD+Momentum,0.004641588833612777,0.99,0.001,,,1000.0,0.0,,
SGD+Momentum,0.00046415888336127773,0.8,0.001,0.12326196541059029,0.0439857798783513,1000.0,0.0,0.6054781058647889,0.09133965338696162
SGD+Momentum,0.021544346900318822,0.99,0.1,,,1000.0,0.0,,
SGD+Momentum,0.00046415888336127773,0.8,0.1,0.12334928347466019,0.04409866129721962,1000.0,0.0,0.6055397245170482,0.09134697663797484
SGD+Momentum,0.01,0.99,0.001,,,1000.0,0.0,,
SGD+Momentum,0.046415888336127774,0.8,0.001,,,1000.0,0.0,,
SGD+Momentum,0.00046415888336127773,0.9,0.001,0.40598155121272284,1.195698951875462,1000.0,0.0,0.34564634520407933,0.552752383879214
SGD+Momentum,0.046415888336127774,0.99,0.001,,,1000.0,0.0,,
SGD+Momentum,0.01,0.95,0.01,,,1000.0,0.0,,
SGD+Momentum,0.00021544346900318845,0.9,0.1,0.44587172146059106,0.8689486021421191,1000.0,0.0,0.8336522751981477,0.3632797815795528
SGD+Momentum,0.00046415888336127773,0.8,0.001,0.12325659780035307,0.043975843177109,1000.0,0.0,0.6054704472405534,0.0913221673284562
SGD+Momentum,0.004641588833612777,0.8,0.1,,,1000.0,0.0,,
SGD+Momentum,0.001,0.8,0.001,,,1000.0,0.0,,
SGD+Momentum,0.01,0.99,0.001,,,1000.0,0.0,,
SGD+Momentum,0.001,0.95,0.001,,,1000.0,0.0,,
SGD+Momentum,0.0001,0.95,0.1,1.4202230322755907,1.938815183393301,1000.0,0.0,1.21852347518488,0.6824248158462275
SGD+Momentum,0.004641588833612777,0.95,0.01,,,1000.0,0.0,,
SGD+Momentum,0.002154434690031882,0.9,0.01,,,1000.0,0.0,,
SGD+Momentum,0.001,0.95,0.01,,,1000.0,0.0,,
SGD+Momentum,0.00021544346900318845,0.8,0.1,2.2224215261100717,0.9624094531205637,1000.0,0.0,1.7515951854609355,0.31788716116330834
SGD+Momentum,0.1,0.95,0.01,,,1000.0,0.0,,
SGD+Momentum,0.00021544346900318845,0.95,0.01,0.40986761173668035,1.1978610781456798,1000.0,0.0,0.3729016821577494,0.5474469374626418
SGD+Momentum,0.01,0.99,0.01,,,1000.0,0.0,,
SGD+Momentum,0.1,0.9,0.01,,,1000.0,0.0,,
SGD+Momentum,0.01,0.9,0.1,,,1000.0,0.0,,
SGD+Momentum,0.00021544346900318845,0.95,0.01,0.409807576869414,1.197840970179058,1000.0,0.0,0.3725475678462138,0.5474983788541301
SGD+Momentum,0.002154434690031882,0.9,0.001,,,1000.0,0.0,,
SGD+Momentum,0.0001,0.9,0.01,2.853114328109984,0.9739382213425714,1000.0,0.0,1.9397541378722933,0.2564983606344877
SGD+Momentum,0.00021544346900318845,0.8,0.01,2.22166642055799,0.9636708546859508,1000.0,0.0,1.7514511234135828,0.3176747779176794
SGD+Momentum,0.00021544346900318845,0.95,0.01,0.4097863165631173,1.1977641139013808,1000.0,0.0,0.37250473538988155,0.5474701664269697
SGD+Momentum,0.00046415888336127773,0.8,0.1,0.12282823553222193,0.04454225844658932,1000.0,0.0,0.6042081541187796,0.09202880221750169
SGD+Momentum,0.00046415888336127773,0.99,0.01,,,1000.0,0.0,,
SGD+Momentum,0.00021544346900318845,0.99,0.001,,,1000.0,0.0,,
SGD+Momentum,0.0001,0.8,0.1,5.471359478254433,1.5468711099041714,1000.0,0.0,2.5090269732018253,0.35268572003449855
SGD+Momentum,0.00021544346900318845,0.9,0.01,0.4470577123021635,0.869485862706845,1000.0,0.0,0.8352668267365241,0.36272183007310166
SGD+Momentum,0.002154434690031882,0.99,0.1,,,1000.0,0.0,,
SGD+Momentum,0.1,0.9,0.1,,,1000.0,0.0,,
SGD+Momentum,0.1,0.9,0.1,,,1000.0,0.0,,
SGD+Momentum,0.002154434690031882,0.9,0.1,,,1000.0,0.0,,
SGD+Momentum,0.00021544346900318845,0.95,0.001,0.40982976298527934,1.1978381852274678,1000.0,0.0,0.3726992073522771,0.5474765792751422
SGD+Momentum,0.0001,0.99,0.01,0.14040126371103992,0.1408326798684348,1000.0,0.0,0.37902183382221577,0.1611157678283126
SGD+Momentum,0.1,0.99,0.001,,,1000.0,0.0,,
SGD+Momentum,0.002154434690031882,0.9,0.001,,,1000.0,0.0,,
SGD+Momentum,0.004641588833612777,0.8,0.001,,,1000.0,0.0,,
SGD+Momentum,0.01,0.95,0.1,,,1000.0,0.0,,
SGD+Momentum,0.00021544346900318845,0.99,0.1,,,1000.0,0.0,,
SGD+Momentum,0.046415888336127774,0.8,0.001,,,1000.0,0.0,,
SGD+Momentum,0.00021544346900318845,0.99,0.01,,,1000.0,0.0,,
SGD+Momentum,0.1,0.9,0.01,,,1000.0,0.0,,
SGD+Momentum,0.004641588833612777,0.8,0.1,,,1000.0,0.0,,
SGD+Momentum,0.001,0.95,0.01,,,1000.0,0.0,,
SGD+Momentum,0.00021544346900318845,0.99,0.1,0.1298016473804951,0.15462571002185552,1000.0,0.0,0.24318217091323877,0.24507336303497898
SGD+Momentum,0.1,0.99,0.01,,,1000.0,0.0,,
SGD+Momentum,0.1,0.95,0.01,,,1000.0,0.0,,
SGD+Momentum,0.002154434690031882,0.9,0.001,,,1000.0,0.0,,
SGD+Momentum,0.1,0.99,0.01,,,1000.0,0.0,,
SGD+Momentum,0.002154434690031882,0.99,0.1,,,1000.0,0.0,,
SGD+Momentum,0.004641588833612777,0.99,0.001,,,1000.0,0.0,,
SGD+Momentum,0.1,0.9,0.001,,,1000.0,0.0,,
SGD+Momentum,0.1,0.8,0.01,,,1000.0,0.0,,
SGD+Momentum,0.01,0.95,0.1,,,1000.0,0.0,,
SGD+Momentum,0.004641588833612777,0.8,0.001,,,1000.0,0.0,,
SGD+Momentum,0.046415888336127774,0.9,0.1,,,1000.0,0.0,,
SGD+Momentum,0.01,0.9,0.001,,,1000.0,0.0,,
SGD+Momentum,0.021544346900318822,0.9,0.01,,,1000.0,0.0,,
SGD+Momentum,0.01,0.9,0.01,,,1000.0,0.0,,
SGD+Momentum,0.1,0.95,0.1,,,1000.0,0.0,,
SGD+Momentum,0.021544346900318822,0.8,0.1,,,1000.0,0.0,,
SGD+Momentum,0.002154434690031882,0.99,0.01,,,1000.0,0.0,,
SGD+Momentum,0.004641588833612777,0.99,0.1,,,1000.0,0.0,,
