optimizer,lr,beta1,beta2,epsilon,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
Adam,0.01,0.99,0.9995,1e-07,2.663799870506152,1.5818714985149007,1000.0,0.0,1.7687274287937078,0.584780753127639
Adam,0.00021544346900318845,0.95,0.999,1e-07,1441.0072432425482,916.4850356439811,1000.0,0.0,3.225435444154018,0.8307611716773837
Adam,0.021544346900318822,0.99,0.999,1e-07,2.319963560856247,1.2372081691008407,1000.0,0.0,1.6629096608158591,0.5612405155382921
Adam,0.046415888336127774,0.9,0.9995,1e-07,1.4590900935554074,1.5765472584748996,1000.0,0.0,1.240380422601651,0.6939304538511541
Adam,0.046415888336127774,0.99,0.9995,1e-07,2.361440728839167,1.5472941312843331,1000.0,0.0,1.7602885004852282,0.43624619021809974
Adam,0.021544346900318822,0.99,0.9999,1e-07,2.3720881281567965,1.2572971655043907,1000.0,0.0,1.6828849141790667,0.5639756649870588
Adam,0.046415888336127774,0.9,0.9999,1e-06,1.4904257552576097,1.5762713325439668,1000.0,0.0,1.2628221937363573,0.6887150240974097
Adam,0.0001,0.9,0.9999,1e-07,1858.4054920177605,1136.894509769753,1000.0,0.0,3.3854960264404914,0.8389350905205962
Adam,0.1,0.95,0.9999,1e-08,0.7816775992989407,1.3714002026446872,1000.0,0.0,0.8360597185335319,0.6421083198103417
Adam,0.001,0.95,0.999,1e-07,321.6758383066725,239.94124084087525,1000.0,0.0,2.549465238412703,0.7866606550744781
Adam,0.004641588833612777,0.99,0.9999,1e-08,8.733522625211176,11.675809070863375,1000.0,0.0,1.8264018930509607,0.6642130265691036
Adam,0.01,0.95,0.9995,1e-07,3.280955781746267,2.371521909409998,1000.0,0.0,1.7313398343993138,0.6684770906792936
Adam,0.01,0.99,0.9995,1e-08,2.663799869934098,1.5818714987097213,1000.0,0.0,1.7687274284980916,0.584780753281587
Adam,0.00021544346900318845,0.95,0.9999,1e-08,1446.3938146196258,919.252961007302,1000.0,0.0,3.2285433579624567,0.8304450271719934
Adam,0.004641588833612777,0.99,0.999,1e-07,7.504393161308907,9.740947656791176,1000.0,0.0,1.8242664412294165,0.6544633191946297
Adam,0.01,0.9,0.9995,1e-08,3.4560749733971208,2.674539849466272,1000.0,0.0,1.728838855721639,0.6742118002481847
Adam,0.001,0.9,0.9999,1e-06,345.2865066796615,255.09624072254812,1000.0,0.0,2.575682749094106,0.7872351370112548
Adam,0.00046415888336127773,0.99,0.9999,1e-07,834.2252642336737,572.8161669112436,1000.0,0.0,2.932361019202434,0.813746345269853
Adam,0.01,0.95,0.9995,1e-07,3.280955781746267,2.371521909409998,1000.0,0.0,1.7313398343993138,0.6684770906792936
Adam,0.1,0.9,0.999,1e-08,1.008493681376025,1.6676295394758986,1000.0,0.0,0.8447604720925371,0.8192893841516319
Adam,0.004641588833612777,0.99,0.9995,1e-07,8.184495480505356,10.816587684343697,1000.0,0.0,1.8249496768150386,0.6597711992671844
Adam,0.046415888336127774,0.99,0.999,1e-07,2.2934325460452207,1.5346090312402845,1000.0,0.0,1.7359208220829558,0.4472257207266891
Adam,0.01,0.9,0.9995,1e-08,3.4560749733971208,2.674539849466272,1000.0,0.0,1.728838855721639,0.6742118002481847
Adam,0.1,0.95,0.9995,1e-08,0.7438412098027358,1.3768217691885316,1000.0,0.0,0.7902451300064961,0.6424902947324402
Adam,0.046415888336127774,0.95,0.9995,1e-07,1.5691112838399195,1.72565221466129,1000.0,0.0,1.2879940219051436,0.7329257717247638
Adam,0.046415888336127774,0.95,0.9999,1e-06,1.596526879785087,1.7231268826550235,1000.0,0.0,1.3077570163675403,0.7254517935577036
Adam,0.1,0.9,0.999,1e-07,1.0084944288084252,1.667629091069797,1000.0,0.0,0.8447688915291488,0.8192823722951165
Adam,0.021544346900318822,0.9,0.999,1e-06,2.030057157378243,1.515131456362801,1000.0,0.0,1.5275230671682938,0.6479324098084989
Adam,0.004641588833612777,0.9,0.9999,1e-08,13.986901859711955,20.12418319551882,1000.0,0.0,1.8427754054610865,0.703947083860342
Adam,0.002154434690031882,0.95,0.999,1e-08,67.81433942638851,64.93299679338342,1000.0,0.0,2.098672467547822,0.735071353973211
Adam,0.046415888336127774,0.95,0.999,1e-07,1.53288157532091,1.7279448849728725,1000.0,0.0,1.2611613532309893,0.7430726633147398
Adam,0.021544346900318822,0.95,0.9995,1e-06,2.0854885697592422,1.534836921515481,1000.0,0.0,1.558525841812989,0.6416115458194863
Adam,0.00046415888336127773,0.9,0.999,1e-07,861.6523801224946,588.1953843525469,1000.0,0.0,2.9524499994330973,0.8143680687188519
Adam,0.046415888336127774,0.95,0.9999,1e-08,1.5965268747107006,1.723126884408793,1000.0,0.0,1.3077570113022952,0.7254517965458953
Adam,0.1,0.95,0.9995,1e-06,0.743841216968687,1.3768217678684014,1000.0,0.0,0.7902451436218465,0.6424902911485517
Adam,0.021544346900318822,0.95,0.9999,1e-07,2.121059686761936,1.5331788416534893,1000.0,0.0,1.5714061220586253,0.641146958350469
Adam,0.002154434690031882,0.99,0.9995,1e-07,51.02483328505026,52.19905236282999,1000.0,0.0,2.0364342779409537,0.7308520217835774
Adam,0.00046415888336127773,0.9,0.9999,1e-06,874.2732506838141,595.5269481772394,1000.0,0.0,2.9609702436009115,0.8141762861743049
Adam,0.046415888336127774,0.99,0.9999,1e-07,2.402768866413534,1.542432112413996,1000.0,0.0,1.7742357064409546,0.42863971627722613
Adam,0.021544346900318822,0.99,0.9999,1e-06,2.3720881281505415,1.257297171321368,1000.0,0.0,1.6828849136735116,0.5639756693941552
Adam,0.00021544346900318845,0.95,0.9995,1e-08,1444.019215846828,918.017860727701,1000.0,0.0,3.227166332400153,0.8305848459438775
Adam,0.01,0.9,0.9999,1e-08,3.642388137029534,2.9778105775943398,1000.0,0.0,1.734469110172633,0.6757055510022066
Adam,0.00046415888336127773,0.9,0.999,1e-07,861.6523801224946,588.1953843525469,1000.0,0.0,2.9524499994330973,0.8143680687188519
