optimizer,lr,beta1,beta2,epsilon,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
Adam,0.00021544346900318845,0.99,0.9999,1e-08,837.4855509117297,2.134368299206101,1000.0,0.0,594.942571669539,1.6538085459908711
Adam,0.001,0.9,0.9999,1e-07,836.1442367001688,1.95554269639191,1000.0,0.0,593.907934125987,1.60837499455355
Adam,0.1,0.95,0.999,1e-06,830.0751967494325,1.652961270217551e-12,553.0,1.0,587.9302984526594,1.3822155547020319e-06
Adam,0.0001,0.95,0.9999,1e-06,837.6900439247381,2.1505568045899466,1000.0,0.0,595.1039160553812,1.6533725598576485
Adam,0.001,0.9,0.9999,1e-06,836.1442386301518,1.9555427470451232,1000.0,0.0,593.9079356741383,1.6083747823106056
Adam,0.021544346900318822,0.99,0.9995,1e-06,830.0757935058815,0.0006260405109909443,1000.0,0.0,587.9169992607766,0.03652966840283075
Adam,0.1,0.9,0.9999,1e-08,830.0751967494334,5.345155667575161e-12,284.25,1.0,587.9302976172171,1.6913629841692753e-06
Adam,0.0001,0.95,0.9995,1e-08,837.6900531866473,2.1504840579002464,1000.0,0.0,595.1039395772636,1.6532730336522385
Adam,0.001,0.9,0.9995,1e-08,836.1442778402627,1.9556674032239931,1000.0,0.0,593.9066806795091,1.6092808584988458
Adam,0.021544346900318822,0.99,0.999,1e-06,830.0758038264582,0.0005301279444666244,1000.0,0.0,587.9155464055513,0.035039921335954974
Adam,0.001,0.99,0.9995,1e-07,836.136058749798,1.9511989579015332,1000.0,0.0,593.8908907909936,1.6146712140018056
Adam,0.001,0.99,0.999,1e-08,836.1359632300379,1.9501884344356628,1000.0,0.0,593.8890786724188,1.6154223062957402
Adam,0.001,0.9,0.9995,1e-06,836.1442802139552,1.955667534685288,1000.0,0.0,593.9066825577514,1.6092806599720062
Adam,0.002154434690031882,0.95,0.9995,1e-07,834.4740644794474,1.763015426460573,1000.0,0.0,592.5960098825053,1.5244882917270295
Adam,0.00046415888336127773,0.99,0.9999,1e-08,837.0526478201207,2.095715419785116,1000.0,0.0,594.6028562860035,1.6516897162197692
Adam,0.021544346900318822,0.99,0.9995,1e-06,830.0757935058815,0.0006260405109909443,1000.0,0.0,587.9169992607766,0.03652966840283075
Adam,0.0001,0.9,0.999,1e-07,837.6900581541586,2.1504559927352433,1000.0,0.0,595.1039500037641,1.6532344495371853
Adam,0.1,0.95,0.999,1e-06,830.0751967494325,1.652961270217551e-12,553.0,1.0,587.9302984526594,1.3822155547020319e-06
Adam,0.1,0.9,0.9995,1e-06,830.0751967494332,5.05900040919879e-12,281.55,1.0,587.9302974712816,1.8472028960442013e-06
Adam,0.0001,0.9,0.9999,1e-07,837.6900394879489,2.1506146426003094,1000.0,0.0,595.1039004776801,1.6534511109334378
Adam,0.0001,0.95,0.9999,1e-07,837.6900437251554,2.150556831404481,1000.0,0.0,595.1039158808754,1.6533726134960114
Adam,0.002154434690031882,0.9,0.9999,1e-06,834.4835520013605,1.7759687431539688,1000.0,0.0,592.6089820822503,1.5298798572803425
Adam,0.046415888336127774,0.95,0.999,1e-07,830.0751967494322,9.323013879825752e-13,578.85,1.0,587.930297826251,1.4464625190633457e-06
Adam,0.00046415888336127773,0.99,0.9995,1e-08,837.0522493994237,2.0949045455030677,1000.0,0.0,594.6021546081436,1.6512350621282714
Adam,0.046415888336127774,0.9,0.9995,1e-06,830.075196749435,1.281072098810529e-11,360.95,1.0,587.9302970206795,2.7853183525167256e-06
Adam,0.0001,0.9,0.999,1e-06,837.6900583535562,2.1504559667658505,1000.0,0.0,595.103950178107,1.653234396817915
