optimizer,lr,beta1,beta2,epsilon,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
Adam,0.004641588833612777,0.95,0.9995,1e-07,0.2540658724220976,0.34631259987764923,1000.0,0.0,0.3691513186748976,0.3432101052455795
Adam,0.1,0.95,0.9995,1e-06,3.0464796536849773e-13,5.253483267832548e-13,562.15,1.0,4.448457599692879e-07,3.267418173510156e-07
Adam,0.002154434690031882,0.95,0.999,1e-06,2.2925876098600875,2.05026510234263,1000.0,0.0,1.3368581607551433,0.71091340392657
Adam,0.021544346900318822,0.95,0.999,1e-08,1.0068054882681398e-12,3.3066867218081754e-12,633.35,1.0,6.039509922555874e-07,8.012794064629586e-07
Adam,0.002154434690031882,0.99,0.9995,1e-07,2.1089693140450336,1.981201326580266,1000.0,0.0,1.2582082874867277,0.7251766814678684
Adam,0.021544346900318822,0.99,0.9999,1e-08,0.0002670204122625681,0.00020385408796279962,1000.0,0.0,0.015111925051744066,0.00621692315321962
Adam,0.021544346900318822,0.9,0.999,1e-06,4.599492997643594e-13,1.112460388325846e-12,635.45,0.95,5.402794894816637e-07,4.0993581571971986e-07
Adam,0.004641588833612777,0.95,0.9995,1e-08,0.2540658541079119,0.34631258145550853,1000.0,0.0,0.36915130047665196,0.34321009813860154
Adam,0.01,0.95,0.999,1e-08,0.00020520098483744315,0.0004542379646724917,942.35,0.3,0.007153906501762314,0.012410584458496951
Adam,0.046415888336127774,0.99,0.9999,1e-07,0.00019847034968315693,0.00019150005969808208,1000.0,0.0,0.01218992553144814,0.0070622988623327025
Adam,0.0001,0.95,0.999,1e-07,11.3687632747201,5.5933425368009875,1000.0,0.0,3.265345205516637,0.8404070225370653
Adam,0.046415888336127774,0.9,0.9995,1e-08,1.5399117081989032e-12,2.9821977827601855e-12,308.5,1.0,8.318970585329608e-07,9.207925891334651e-07
Adam,0.00046415888336127773,0.95,0.9999,1e-07,8.716372901840739,4.825655996242855,1000.0,0.0,2.8330801789070397,0.8306802042451683
Adam,0.004641588833612777,0.99,0.999,1e-07,0.11617411113697922,0.19310113625436556,1000.0,0.0,0.21723590849173946,0.2626455238505843
Adam,0.002154434690031882,0.99,0.9995,1e-06,2.1089699996844815,1.981201615882467,1000.0,0.0,1.2582085841513568,0.7251766394833189
Adam,0.0001,0.95,0.9999,1e-07,11.369667004856556,5.593372486842254,1000.0,0.0,3.26549198006632,0.840374400478202
Adam,0.021544346900318822,0.95,0.9995,1e-08,2.615162767380505e-13,2.6716855905030267e-13,649.3,1.0,4.6966590494228425e-07,2.0231217084692572e-07
Adam,0.046415888336127774,0.95,0.9999,1e-07,2.377577618168966e-13,2.9739926942769504e-13,556.95,1.0,4.2913580850039814e-07,2.3151721249100734e-07
Adam,0.0001,0.99,0.9995,1e-06,11.366885453131918,5.59328925652356,1000.0,0.0,3.2650397191994913,0.8404767011533532
Adam,0.021544346900318822,0.99,0.999,1e-08,0.00021118654000480694,0.00018376520168982078,1000.0,0.0,0.013073023703670597,0.006346856800659179
Adam,0.046415888336127774,0.95,0.999,1e-06,1.9313666173309688e-13,2.4602660312883537e-13,565.6,1.0,3.9961988990700415e-07,1.82867726304591e-07
Adam,0.004641588833612777,0.95,0.9995,1e-08,0.2540658541079119,0.34631258145550853,1000.0,0.0,0.36915130047665196,0.34321009813860154
