optimizer,lr,momentum,noise_scale,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
SGD+Momentum,0.021544346900318822,0.99,0.01,0.00019352756769775643,0.00015303394087453208,1000.0,0.0,0.012637849794972695,0.005814836219315647
SGD+Momentum,0.0001,0.8,0.1,1.6526708326583937,0.7855948503955711,1000.0,0.0,1.2477539388888783,0.3094849602899682
SGD+Momentum,0.046415888336127774,0.95,0.01,4.4340528700176337e-05,4.664582914290955e-05,1000.0,0.0,0.005723070172655689,0.0034039677582249693
SGD+Momentum,0.00046415888336127773,0.8,0.01,0.0009596195542634489,0.0004558008908090281,1000.0,0.0,0.03007121126019017,0.007439207458356086
SGD+Momentum,0.00021544346900318845,0.95,0.1,1.5253104124394258e-05,1.0050520461125864e-05,1000.0,0.0,0.0035545754781020726,0.0016180535512984972
SGD+Momentum,0.0001,0.8,0.001,1.6520655714222534,0.7856955007493195,1000.0,0.0,1.2475171433817487,0.30946170747104557
SGD+Momentum,0.01,0.9,0.1,0.0006545672351799284,0.000739355575658052,1000.0,0.0,0.021884832440317775,0.01325222035128993
SGD+Momentum,0.00046415888336127773,0.95,0.001,4.472013927998849e-09,3.4474920973570453e-09,1000.0,0.0,6.12502207992631e-05,2.684072242023991e-05
SGD+Momentum,0.01,0.99,0.001,0.00042158912740104587,0.00020536305232328727,1000.0,0.0,0.019907276764314714,0.005028862617930757
SGD+Momentum,0.004641588833612777,0.99,0.001,0.0002097558714439553,9.835740264595299e-05,1000.0,0.0,0.014078503704624823,0.0033987651997189378
SGD+Momentum,0.00021544346900318845,0.8,0.1,0.1600082055738475,0.07580133825177446,1000.0,0.0,0.3883100310808293,0.09603918645976213
SGD+Momentum,0.00046415888336127773,0.99,0.001,9.573450630188105e-06,4.416076401842138e-06,1000.0,0.0,0.003007991592534654,0.0007248704776916659
SGD+Momentum,0.00021544346900318845,0.99,0.001,0.00010970182835233785,5.261460185060373e-05,1000.0,0.0,0.010161265401243994,0.002539786171672647
SGD+Momentum,0.004641588833612777,0.99,0.1,0.0020381362375073114,0.0017417900313763694,1000.0,0.0,0.04046406639225021,0.02001987933307488
SGD+Momentum,0.001,0.9,0.001,3.8669861422036735e-09,3.667209070037751e-09,1000.0,0.0,5.5582937853965425e-05,2.7884102311637934e-05
SGD+Momentum,0.002154434690031882,0.95,0.01,2.4292435803921293e-06,1.7734769277698334e-06,1000.0,0.0,0.0014326403850476095,0.0006138282394308423
SGD+Momentum,0.001,0.95,0.001,1.0123183807458697e-08,8.973306063948902e-09,1000.0,0.0,9.09185114866692e-05,4.3093016563094045e-05
SGD+Momentum,0.0001,0.8,0.01,1.6521418449342806,0.7857541190682586,1000.0,0.0,1.247545258715645,0.309471601912672
SGD+Momentum,0.021544346900318822,0.95,0.1,0.001969914865290973,0.0014562318653275768,1000.0,0.0,0.041392136613224884,0.01601892293143022
SGD+Momentum,0.002154434690031882,0.9,0.1,9.63663201573065e-05,7.62694790500604e-05,1000.0,0.0,0.009010853296919774,0.0038949766390437447
SGD+Momentum,0.1,0.9,0.01,4.980658438166886e-05,4.9498536833256064e-05,1000.0,0.0,0.006216392463297532,0.003341114952216776
SGD+Momentum,0.01,0.99,0.001,0.00041683930240689554,0.00020233889945211564,1000.0,0.0,0.019779117886430844,0.005062193007142949
SGD+Momentum,0.00021544346900318845,0.9,0.01,0.0016427511345215434,0.0007882387294989334,1000.0,0.0,0.039317124232775245,0.009844535366692584
SGD+Momentum,0.0001,0.99,0.1,0.0006561060198703578,0.000386492880810803,1000.0,0.0,0.024145246690989445,0.008550618813958496
SGD+Momentum,0.021544346900318822,0.99,0.01,0.00017608034757655985,0.00016009755628854192,1000.0,0.0,0.012050767698858352,0.005555118850637861
SGD+Momentum,0.01,0.99,0.001,0.0004213510970864687,0.00020644575612746777,1000.0,0.0,0.01986647422373528,0.005164716739970397
SGD+Momentum,0.00046415888336127773,0.9,0.001,1.9287309265832074e-08,1.2932864054861213e-08,1000.0,0.0,0.0001313039847909711,4.523906325118271e-05
SGD+Momentum,0.01,0.99,0.01,0.0004580944066062717,0.00025942541960668846,1000.0,0.0,0.02048369097421856,0.006205869051066807
SGD+Momentum,0.00021544346900318845,0.99,0.001,0.00010988258452490636,5.2439548857335913e-05,1000.0,0.0,0.010172853250458015,0.0025289605116632775
SGD+Momentum,0.046415888336127774,0.9,0.001,2.2670222022271208e-07,2.081568688222702e-07,1000.0,0.0,0.00042930948315234117,0.00020590188901071742
SGD+Momentum,0.1,0.99,0.1,0.04172403613806388,0.03284640108871948,1000.0,0.0,0.18817970927476815,0.07945082224450305
SGD+Momentum,0.00046415888336127773,0.99,0.1,0.0003076379131077249,0.00021018295285970114,1000.0,0.0,0.016193341835048156,0.006738960848751397
SGD+Momentum,0.046415888336127774,0.95,0.001,4.0114773220937627e-07,2.9205626824882186e-07,1000.0,0.0,0.0005847222702750757,0.00024340829660004913
SGD+Momentum,0.1,0.99,0.01,0.001244609710877159,0.0014608847556914321,1000.0,0.0,0.02988132488586414,0.018754096457643466
SGD+Momentum,0.001,0.95,0.01,1.0042772147372515e-06,1.0136205005812573e-06,1000.0,0.0,0.0009021239590366534,0.00043640529014814407
SGD+Momentum,0.001,0.9,0.01,6.589288036313512e-07,7.60934881004639e-07,1000.0,0.0,0.0006765702716683326,0.0004485325753231194
SGD+Momentum,0.002154434690031882,0.9,0.01,9.392853431222665e-07,8.553258493017432e-07,1000.0,0.0,0.0008828134271890586,0.0003999072341143324
SGD+Momentum,0.002154434690031882,0.95,0.01,1.9223105481503004e-06,1.7340855116456e-06,1000.0,0.0,0.0012197388516774089,0.0006592023072312292
SGD+Momentum,0.004641588833612777,0.9,0.1,0.0001527171886285964,0.00012082613650236778,1000.0,0.0,0.011123815577451145,0.005383113934095361
SGD+Momentum,0.046415888336127774,0.95,0.001,4.0918469041305983e-07,2.764579188599644e-07,1000.0,0.0,0.000604296688649508,0.0002097860874803174
SGD+Momentum,0.046415888336127774,0.99,0.001,0.00010062697382645855,5.5823763968123664e-05,1000.0,0.0,0.009622027394905251,0.0028361175289736184
SGD+Momentum,0.01,0.95,0.01,7.89070651745041e-06,7.791233960991972e-06,1000.0,0.0,0.00247006311204014,0.0013377199781676992
SGD+Momentum,0.1,0.99,0.01,0.000795606058266263,0.0007908119130655562,1000.0,0.0,0.024570796300857047,0.013852148837204032
SGD+Momentum,0.004641588833612777,0.8,0.01,1.4362633043533258e-06,2.168034716043498e-06,1000.0,0.0,0.0010013702217654536,0.0006584231035699857
SGD+Momentum,0.0001,0.8,0.01,1.652055474120512,0.7856328360977844,1000.0,0.0,1.2475172771940308,0.3094448532822996
SGD+Momentum,0.00046415888336127773,0.95,0.01,4.5627836077929814e-07,5.778117630670406e-07,1000.0,0.0,0.0005714544455896146,0.000360164097870907
SGD+Momentum,0.1,0.9,0.1,0.004810158333030987,0.0036961069217614287,1000.0,0.0,0.06293792565387078,0.029137190108499172
SGD+Momentum,0.01,0.99,0.01,0.0003876195098752759,0.00018735646042116385,1000.0,0.0,0.019058041043923335,0.004940706573295918
SGD+Momentum,0.021544346900318822,0.99,0.01,0.0002242260111610857,0.00019955539447018538,1000.0,0.0,0.013352496204657463,0.0067776733667014215
SGD+Momentum,0.021544346900318822,0.9,0.01,1.78480304084146e-05,1.7008351202257272e-05,1000.0,0.0,0.0038562682535405735,0.001725463869557904
SGD+Momentum,0.01,0.9,0.1,0.0006055536061667376,0.00045559605985251575,1000.0,0.0,0.022890176374623615,0.009032908263973473
SGD+Momentum,0.001,0.95,0.001,8.582860980416694e-09,7.771500321443104e-09,1000.0,0.0,8.272624898921874e-05,4.170406105633454e-05
SGD+Momentum,0.004641588833612777,0.99,0.1,0.0024925575452990874,0.002854648663244009,1000.0,0.0,0.04316040933304298,0.02509455342306899
SGD+Momentum,0.0001,0.8,0.1,1.6522289937862624,0.7859251707147924,1000.0,0.0,1.2475727222610673,0.3095016905549496
SGD+Momentum,0.021544346900318822,0.9,0.01,9.489769583546141e-06,1.000772088007741e-05,1000.0,0.0,0.002688031563240956,0.001504744462879503
SGD+Momentum,0.001,0.8,0.1,3.2403432939440714e-05,2.8201521233184045e-05,1000.0,0.0,0.0051022488662018145,0.002523982853900361
SGD+Momentum,0.004641588833612777,0.8,0.01,8.96212762133794e-07,9.53088100054871e-07,1000.0,0.0,0.0008204562336292586,0.00047229686726960724
SGD+Momentum,0.1,0.8,0.01,2.097419270576152e-05,1.6159764817437605e-05,1000.0,0.0,0.004105100598571903,0.002030355087507139
SGD+Momentum,0.00021544346900318845,0.95,0.01,2.0061848154927768e-07,1.4430229471253642e-07,1000.0,0.0,0.0004198813831135884,0.0001559426358116908
SGD+Momentum,0.001,0.99,0.01,0.0004322448967202191,0.00021123436799390434,1000.0,0.0,0.020141420746854176,0.005154422083843259
SGD+Momentum,0.001,0.8,0.01,2.632148627956586e-07,3.05670554235886e-07,1000.0,0.0,0.00043761216314685874,0.00026778808312093654
SGD+Momentum,0.046415888336127774,0.95,0.001,5.559353376732107e-07,5.987916911102234e-07,1000.0,0.0,0.0006465046546385739,0.00037143918641396607
SGD+Momentum,0.021544346900318822,0.8,0.1,0.0006071829655357531,0.0005962087127223965,1000.0,0.0,0.022175339568940786,0.010744174260403734
SGD+Momentum,0.00021544346900318845,0.8,0.001,0.16028608581721976,0.07623020882550778,1000.0,0.0,0.3885803793822428,0.0963917764976452
SGD+Momentum,0.004641588833612777,0.8,0.001,1.3655715736543326e-08,1.0983506118908461e-08,1000.0,0.0,0.00010632738998804419,4.847888070978625e-05
SGD+Momentum,0.0001,0.99,0.01,0.0005432098214261042,0.00026072729317225767,1000.0,0.0,0.02261591364499787,0.0056329629350904825
