optimizer,lr,momentum,noise_scale,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
SGD+Momentum,0.046415888336127774,0.99,0.01,0.0003361878806367579,0.00025681876832165225,1000.0,0.0,0.01473495652033133,0.006139725696583447
SGD+Momentum,0.046415888336127774,0.8,0.01,9.878129481442965e-06,1.143518216908418e-05,1000.0,0.0,0.002412780693307317,0.0014146410306915048
SGD+Momentum,0.1,0.9,0.001,5.338427532751989e-07,5.382255882164596e-07,1000.0,0.0,0.0005638570762037224,0.00027670706291017794
SGD+Momentum,0.002154434690031882,0.95,0.1,0.0001673579348911336,0.00018147315256155025,1000.0,0.0,0.009434377516632533,0.005671966490329497
SGD+Momentum,0.004641588833612777,0.9,0.001,1.8438432407449802e-08,1.6888720131042647e-08,1000.0,0.0,0.0001052757094519885,6.0842643940052944e-05
SGD+Momentum,0.1,0.95,0.01,0.00011589199636572164,7.857480717027003e-05,1000.0,0.0,0.008473625764099673,0.002964647439509074
SGD+Momentum,0.021544346900318822,0.9,0.001,9.358623701378328e-08,7.827532092369528e-08,1000.0,0.0,0.00023238041205062782,0.00012819482531564686
SGD+Momentum,0.00046415888336127773,0.8,0.001,0.0006791201433120309,0.0005550321758099123,1000.0,0.0,0.02331916584358841,0.011632351851041757
SGD+Momentum,0.00046415888336127773,0.8,0.001,0.0006790813904725484,0.0005551208880008281,1000.0,0.0,0.023317589990419094,0.01163383321418429
SGD+Momentum,0.001,0.99,0.001,0.0007665950992575294,0.00035956541326171755,1000.0,0.0,0.022409760189050394,0.0052778670027208595
SGD+Momentum,0.004641588833612777,0.8,0.001,1.475356227155253e-08,1.3050429048397766e-08,1000.0,0.0,9.075315991695148e-05,4.656855562784172e-05
SGD+Momentum,0.00021544346900318845,0.8,0.001,0.11473483990690658,0.09139746699342564,1000.0,0.0,0.3036245677129246,0.1468957410062198
SGD+Momentum,0.004641588833612777,0.8,0.1,0.00011223846697465311,9.276249108069829e-05,1000.0,0.0,0.008100898391188962,0.003931095188904633
SGD+Momentum,0.021544346900318822,0.95,0.001,1.404743715922714e-07,1.2070007015573032e-07,1000.0,0.0,0.00030230667896441357,0.00014323870549644603
SGD+Momentum,0.021544346900318822,0.9,0.001,9.192764927264504e-08,7.34278412806683e-08,1000.0,0.0,0.00023892741569307496,0.00012071749467949839
SGD+Momentum,0.01,0.99,0.001,0.0008097382213979862,0.00039088062879390033,1000.0,0.0,0.022855642950635503,0.005362863402753798
SGD+Momentum,0.0001,0.95,0.001,0.0016565817810028076,0.0013547690693512995,1000.0,0.0,0.03641645117306993,0.018176820344247262
SGD+Momentum,0.021544346900318822,0.95,0.01,2.5297701543891276e-05,1.805795985372533e-05,1000.0,0.0,0.004003679940294543,0.0018085344416208116
SGD+Momentum,0.001,0.8,0.001,8.894818484990867e-09,6.918670700837952e-09,1000.0,0.0,8.061041916899699e-05,4.123634205973849e-05
SGD+Momentum,0.1,0.99,0.001,0.0003971352568222763,0.0003180438961095165,1000.0,0.0,0.017725303954878636,0.008834017899615723
SGD+Momentum,0.01,0.8,0.1,0.00020951973143290502,0.00016176556940926827,1000.0,0.0,0.011242415605290944,0.00520330668769402
SGD+Momentum,0.00046415888336127773,0.99,0.1,0.00027364182591810694,0.00041259885672849237,1000.0,0.0,0.010443549180660618,0.00724983594432124
SGD+Momentum,0.01,0.99,0.01,0.0008506435326525936,0.0003705990242181641,1000.0,0.0,0.023761213964377782,0.005590220211417083
