optimizer,lr,beta1,beta2,epsilon,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
Adam,0.002154434690031882,0.9,0.9995,1e-08,2.781429562213548,3.99485212468268,1000.0,0.0,0.7677448936092965,0.5535864097202351
Adam,0.00046415888336127773,0.95,0.9999,1e-06,18.169624646493418,13.341458912477844,1000.0,0.0,2.321232324851665,0.7934926565956251
Adam,0.00021544346900318845,0.99,0.9995,1e-08,23.927140520750548,15.455382863980974,1000.0,0.0,2.6955313867217607,0.8095306588271237
Adam,0.021544346900318822,0.99,0.999,1e-07,0.0006525024098528266,0.0006290584284331922,1000.0,0.0,0.013325897172144687,0.0063794489489292635
Adam,0.004641588833612777,0.95,0.9995,1e-07,0.1459148201401096,0.3416266692692987,1000.0,0.0,0.11278894543213139,0.17677352586769954
Adam,0.00046415888336127773,0.9,0.9999,1e-07,18.196928689312536,13.345562901411315,1000.0,0.0,2.3232738657146856,0.7931492331986405
Adam,0.00046415888336127773,0.95,0.9999,1e-07,18.169623738781358,13.341458758900817,1000.0,0.0,2.3212322317891125,0.7934926677435306
Adam,0.002154434690031882,0.99,0.999,1e-08,2.1472290142339308,3.5143904377215014,1000.0,0.0,0.6184134589416798,0.5477592800528075
Adam,0.00021544346900318845,0.9,0.999,1e-08,23.982746422665464,15.460237432419877,1000.0,0.0,2.699116539270421,0.8088471704307246
Adam,0.004641588833612777,0.9,0.9999,1e-06,0.17890542078173058,0.40342950926209875,1000.0,0.0,0.13231216547919547,0.19148044427554736
Adam,0.0001,0.99,0.999,1e-06,27.298512312197715,16.503926142293185,1000.0,0.0,2.893588749077483,0.813037595615688
Adam,0.002154434690031882,0.95,0.999,1e-06,2.625655464366657,3.878040193886089,1000.0,0.0,0.734464796616803,0.5514532470273185
Adam,0.002154434690031882,0.99,0.999,1e-07,2.1472290592890007,3.5143904735910523,1000.0,0.0,0.618413474070412,0.5477592815877527
Adam,0.046415888336127774,0.95,0.999,1e-07,6.483165373402833e-14,3.085932522972831e-14,625.1,1.0,1.7607503230401355e-07,6.597708479738665e-08
Adam,0.021544346900318822,0.9,0.9999,1e-07,1.4173342372066916e-13,1.7896273040410583e-13,479.7,1.0,2.290867465464085e-07,1.679008306467809e-07
Adam,0.004641588833612777,0.9,0.999,1e-08,0.14446860887805452,0.33726749123066035,1000.0,0.0,0.11326403783387877,0.17531175608513475
Adam,0.1,0.95,0.999,1e-08,7.228747737941023e-14,4.786948434897617e-14,617.65,1.0,1.860017327775885e-07,8.727842999304138e-08
Adam,0.1,0.9,0.999,1e-06,4.965246409890228e-14,3.443461806649295e-14,305.55,1.0,1.5000351222537294e-07,7.721007729930144e-08
Adam,0.00021544346900318845,0.95,0.9995,1e-07,23.986247585562438,15.460599650699187,1000.0,0.0,2.6993406680149707,0.8088078993455663
Adam,0.021544346900318822,0.9,0.9999,1e-08,1.4173552843627227e-13,1.7896982315237774e-13,479.7,1.0,2.2908739910210697e-07,1.6790255053679824e-07
Adam,0.001,0.9,0.9999,1e-07,10.07533517605157,9.468606954325763,1000.0,0.0,1.6686302285518528,0.7370824814583175
Adam,0.00021544346900318845,0.99,0.9995,1e-06,23.927141209536494,15.455382936418603,1000.0,0.0,2.6955314475114696,0.8095306493201376
Adam,0.00046415888336127773,0.9,0.9995,1e-08,18.166579045850817,13.340762391449971,1000.0,0.0,2.321009803802414,0.7935119329050255
Adam,0.1,0.95,0.999,1e-06,7.22856961504123e-14,4.78671336011498e-14,617.65,1.0,1.8600059790985152e-07,8.727902312158484e-08
Adam,0.0001,0.99,0.999,1e-06,27.298512312197715,16.503926142293185,1000.0,0.0,2.893588749077483,0.813037595615688
